Time,Wind1VelX,Wind1VelY,Wind1VelZ,GenPwr
0.0,6.604,-0.4356,0.4001,14840.0
0.05,6.95,-0.3926,0.388,14290.0
0.1,7.296,-0.3495,0.376,14170.0
0.15,7.264,-0.5166,0.3111,14300.0
0.2,7.232,-0.6837,0.2462,14310.0
0.25,7.179,-0.7658,0.1995,14210.0
0.3,7.126,-0.8479,0.1529,14280.0
0.35,7.061,-0.8179,0.1238,14610.0
0.4,6.996,-0.7878,0.09484,14850.0
0.45,6.969,-0.6897,0.08341,14720.0
0.5,6.943,-0.5917,0.07197,14360.0
0.55,6.973,-0.421,0.125,14150.0
0.6,7.003,-0.2504,0.1781,14140.0
0.65,7.073,-0.2256,0.137,14060.0
0.7,7.142,-0.2009,0.0958,13780.0
0.75,7.085,-0.1182,0.1426,13580.0
0.8,7.027,-0.03549,0.1894,13710.0
0.85,7.026,0.2071,0.2882,14020.0
0.9,7.026,0.4497,0.3871,14130.0
0.95,6.749,0.3493,0.3058,14000.0
1.0,6.473,0.2488,0.2246,13890.0
1.05,6.669,0.1615,0.2367,13960.0
1.1,6.865,0.0741,0.2489,14000.0
1.15,6.969,0.1028,0.1923,13810.0
1.2,7.073,0.1314,0.1358,13500.0
1.25,7.068,-0.05382,0.2696,13400.0
1.3,7.063,-0.2391,0.4034,13550.0
1.35,7.185,-0.2518,0.2639,13700.0
1.4,7.306,-0.2644,0.1244,13650.0
1.45,7.362,-0.1956,0.1714,13550.0
1.5,7.418,-0.1268,0.2183,13590.0
1.55,7.455,-0.3034,0.2625,13710.0
1.6,7.491,-0.4801,0.3067,13640.0
1.65,7.446,-0.4339,0.5084,13370.0
1.7,7.401,-0.3877,0.7101,13140.0
1.75,7.372,-0.3358,0.8294,13140.0
1.8,7.343,-0.2839,0.9486,13240.0
1.85,7.259,-0.2373,0.707,13230.0
1.9,7.176,-0.1907,0.4653,13140.0
1.95,7.254,-0.1595,0.2797,13180.0
2.0,7.332,-0.1283,0.09412,13360.0
2.05,7.418,-0.05597,0.0278,13450.0
2.1,7.505,0.01638,-0.03851,13300.0
2.15,7.46,-0.1496,-0.1632,13050.0
2.2,7.415,-0.3155,-0.2879,12920.0
2.25,7.252,-0.5078,-0.1701,12920.0
2.3,7.088,-0.7001,-0.05223,12850.0
2.35,7.006,-0.7311,-0.05753,12680.0
2.4,6.923,-0.7621,-0.06283,12580.0
2.45,6.923,-0.7514,-0.02889,12690.0
2.5,6.923,-0.7406,0.005055,12880.0
2.55,6.827,-0.7988,0.06812,12930.0
2.6,6.731,-0.8569,0.1312,12830.0
2.65,6.695,-1.034,0.3807,12760.0
2.7,6.66,-1.211,0.6302,12790.0
2.75,6.711,-1.205,0.5262,12770.0
2.8,6.762,-1.2,0.4222,12570.0
2.85,6.705,-1.151,0.4616,12320.0
2.9,6.647,-1.103,0.5009,12220.0
2.95,6.681,-1.189,0.5059,12280.0
3.0,6.716,-1.275,0.5108,12320.0
3.05,6.672,-1.254,0.548,12250.0
3.1,6.629,-1.232,0.5852,12200.0
3.15,6.63,-1.327,0.6782,12280.0
3.2,6.632,-1.422,0.7712,12400.0
3.25,6.779,-1.331,0.7498,12360.0
3.3,6.926,-1.239,0.7284,12190.0
3.35,6.865,-1.296,0.5068,12040.0
3.4,6.803,-1.353,0.2852,12020.0
3.45,6.672,-1.337,0.07354,12010.0
3.5,6.54,-1.322,-0.1382,11910.0
3.55,6.474,-1.271,-0.1923,11790.0
3.6,6.409,-1.221,-0.2465,11790.0
3.65,6.471,-1.217,-0.208,11890.0
3.7,6.533,-1.214,-0.1695,11940.0
3.75,6.555,-1.181,-0.1971,11850.0
3.8,6.577,-1.149,-0.2248,11710.0
3.85,6.644,-0.9265,-0.3434,11670.0
3.9,6.712,-0.7044,-0.4619,11680.0
3.95,6.705,-0.6316,-0.4747,11620.0
4.0,6.698,-0.5589,-0.4874,11480.0
4.05,6.564,-0.6498,-0.3938,11410.0
4.1,6.43,-0.7406,-0.3002,11460.0
4.15,6.629,-0.6568,-0.03912,11530.0
4.2,6.829,-0.5729,0.2219,11490.0
4.25,6.792,-0.5441,0.1858,11370.0
4.3,6.756,-0.5152,0.1497,11300.0
4.35,6.74,-0.5913,0.1535,11300.0
4.4,6.724,-0.6673,0.1572,11260.0
4.45,6.658,-0.7691,0.0739,11120.0
4.5,6.592,-0.8709,-0.009388,10980.0
4.55,6.503,-0.7744,0.01083,10950.0
4.6,6.413,-0.6779,0.03105,11000.0
4.65,6.42,-0.7149,0.1516,11020.0
4.7,6.426,-0.752,0.2722,10970.0
