Time,Wind1VelX,Wind1VelY,Wind1VelZ,GenPwr
0.0,2.99,-0.026,0.0,14840.0
0.05,2.99,-0.026,0.0,14270.0
0.1,2.99,-0.026,0.0,14110.0
0.15,2.99,-0.026,0.0,14190.0
0.2,2.99,-0.026,0.0,14210.0
0.25,2.99,-0.026,0.0,14140.0
0.3,2.99,-0.026,0.0,14280.0
0.35,2.99,-0.026,0.0,14660.0
0.4,2.99,-0.026,0.0,14940.0
0.45,2.99,-0.026,0.0,14800.0
0.5,2.99,-0.026,0.0,14390.0
0.55,2.99,-0.026,0.0,14080.0
0.6,2.99,-0.026,0.0,13990.0
0.65,2.99,-0.026,0.0,13850.0
0.7,2.99,-0.026,0.0,13570.0
0.75,2.99,-0.026,0.0,13410.0
0.8,2.99,-0.026,0.0,13610.0
0.85,2.99,-0.026,0.0,14010.0
0.9,2.99,-0.026,0.0,14190.0
0.95,2.99,-0.026,0.0,14070.0
1.0,2.99,-0.026,0.0,13900.0
1.05,2.99,-0.026,0.0,13840.0
1.1,2.99,-0.026,0.0,13740.0
1.15,2.99,-0.026,0.0,13430.0
1.2,2.99,-0.026,0.0,13040.0
1.25,2.99,-0.026,0.0,12900.0
1.3,2.99,-0.026,0.0,13070.0
1.35,2.99,-0.026,0.0,13290.0
1.4,2.99,-0.026,0.0,13330.0
1.45,2.99,-0.026,0.0,13280.0
1.5,2.99,-0.026,0.0,13340.0
1.55,2.99,-0.026,0.0,13410.0
1.6,2.99,-0.026,0.0,13260.0
1.65,2.99,-0.026,0.0,12870.0
1.7,2.99,-0.026,0.0,12510.0
1.75,2.99,-0.026,0.0,12410.0
1.8,2.99,-0.026,0.0,12450.0
1.85,2.99,-0.026,0.0,12440.0
1.9,2.99,-0.026,0.0,12390.0
1.95,2.99,-0.026,0.0,12470.0
2.0,2.99,-0.026,0.0,12700.0
2.05,2.99,-0.026,0.0,12830.0
2.1,2.99,-0.026,0.0,12680.0
2.15,2.99,-0.026,0.0,12360.0
2.2,2.99,-0.026,0.0,12130.0
2.25,2.99,-0.026,0.0,11990.0
2.3,2.99,-0.026,0.0,11810.0
2.35,2.99,-0.026,0.0,11560.0
2.4,2.99,-0.026,0.0,11430.0
2.45,2.99,-0.026,0.0,11560.0
2.5,2.99,-0.026,0.0,11800.0
2.55,2.99,-0.026,0.0,11910.0
2.6,2.99,-0.026,0.0,11850.0
2.65,2.99,-0.026,0.0,11760.0
2.7,2.99,-0.026,0.0,11710.0
2.75,2.99,-0.026,0.0,11570.0
2.8,2.99,-0.026,0.0,11240.0
2.85,2.99,-0.026,0.0,10870.0
2.9,2.99,-0.026,0.0,10690.0
2.95,2.99,-0.026,0.0,10720.0
3.0,2.99,-0.026,0.0,10780.0
