Time,Wind1VelX,Wind1VelY,Wind1VelZ,GenPwr
0.0,5.817,-0.4584,0.3687,14840.0
0.05,6.129,-0.4214,0.3579,14280.0
0.1,6.441,-0.3844,0.347,14160.0
0.15,6.41,-0.5368,0.2884,14280.0
0.2,6.379,-0.6893,0.2299,14290.0
0.25,6.331,-0.7629,0.1875,14180.0
0.3,6.283,-0.8366,0.1452,14250.0
0.35,6.226,-0.8084,0.1189,14590.0
0.4,6.169,-0.7802,0.09264,14850.0
0.45,6.145,-0.6922,0.08245,14720.0
0.5,6.122,-0.6043,0.07225,14360.0
0.55,6.149,-0.4513,0.1204,14150.0
0.6,6.176,-0.2983,0.1685,14140.0
0.65,6.239,-0.2765,0.1315,14040.0
0.7,6.301,-0.2547,0.09445,13740.0
0.75,6.247,-0.1781,0.1371,13530.0
0.8,6.193,-0.1015,0.1798,13660.0
0.85,6.195,0.1169,0.2695,13960.0
0.9,6.196,0.3353,0.3592,14080.0
0.95,5.946,0.2475,0.286,13960.0
1.0,5.696,0.1598,0.2127,13850.0
1.05,5.871,0.07842,0.2238,13910.0
1.1,6.045,-0.002932,0.2349,13940.0
1.15,6.137,0.02107,0.1839,13730.0
1.2,6.228,0.04507,0.133,13410.0
1.25,6.221,-0.1213,0.2542,13290.0
1.3,6.213,-0.2877,0.3755,13430.0
1.35,6.323,-0.2999,0.2495,13560.0
1.4,6.432,-0.3122,0.1234,13510.0
1.45,6.484,-0.249,0.1661,13410.0
1.5,6.535,-0.1858,0.2088,13450.0
1.55,6.567,-0.3465,0.2491,13560.0
1.6,6.598,-0.5072,0.2895,13490.0
1.65,6.557,-0.4641,0.4722,13200.0
1.7,6.515,-0.421,0.655,12960.0
1.75,6.49,-0.3758,0.763,12950.0
1.8,6.464,-0.3305,0.8709,13040.0
1.85,6.389,-0.288,0.6522,13020.0
1.9,6.314,-0.2455,0.4335,12930.0
1.95,6.383,-0.2189,0.265,12960.0
2.0,6.452,-0.1924,0.09649,13130.0
2.05,6.531,-0.127,0.03613,13210.0
2.1,6.609,-0.06156,-0.02424,13050.0
2.15,6.566,-0.2107,-0.1371,12780.0
2.2,6.523,-0.3598,-0.2501,12640.0
2.25,6.374,-0.5337,-0.1435,12610.0
2.3,6.225,-0.7076,-0.03692,12530.0
2.35,6.15,-0.7351,-0.04145,12350.0
2.4,6.075,-0.7626,-0.04598,12250.0
2.45,6.074,-0.7518,-0.01506,12360.0
2.5,6.073,-0.7409,0.01585,12550.0
2.55,5.985,-0.7928,0.0735,12590.0
2.6,5.898,-0.8446,0.1311,12480.0
2.65,5.863,-1.005,0.3571,12410.0
2.7,5.828,-1.166,0.583,12410.0
2.75,5.872,-1.161,0.4893,12360.0
2.8,5.917,-1.156,0.3957,12140.0
2.85,5.864,-1.113,0.4315,11880.0
2.9,5.812,-1.069,0.4673,11770.0
2.95,5.841,-1.146,0.4718,11820.0
3.0,5.871,-1.224,0.4763,11860.0
3.05,5.831,-1.205,0.5102,11800.0
3.1,5.792,-1.187,0.544,11750.0
3.15,5.792,-1.273,0.628,11820.0
3.2,5.792,-1.358,0.7119,11910.0
3.25,5.925,-1.277,0.6922,11860.0
3.3,6.058,-1.196,0.6725,11670.0
3.35,6.002,-1.247,0.4715,11510.0
3.4,5.945,-1.298,0.2704,11470.0
3.45,5.824,-1.282,0.07826,11440.0
3.5,5.704,-1.267,-0.1139,11330.0
3.55,5.646,-1.22,-0.1635,11190.0
3.6,5.587,-1.173,-0.2131,11180.0
3.65,5.643,-1.169,-0.1787,11270.0
3.7,5.699,-1.166,-0.1443,11310.0
3.75,5.72,-1.138,-0.1695,11230.0
3.8,5.74,-1.109,-0.1948,11100.0
3.85,5.802,-0.9091,-0.3021,11040.0
3.9,5.865,-0.7091,-0.4095,11030.0
3.95,5.859,-0.6424,-0.4211,10940.0
4.0,5.854,-0.5757,-0.4326,10790.0
4.05,5.732,-0.6561,-0.3476,10690.0
4.1,5.609,-0.7365,-0.2625,10710.0
4.15,5.789,-0.6625,-0.02582,10770.0
4.2,5.969,-0.5885,0.2109,10730.0
4.25,5.936,-0.5627,0.1787,10620.0
4.3,5.903,-0.5368,0.1465,10540.0
4.35,5.887,-0.6059,0.1501,10520.0
4.4,5.872,-0.675,0.1536,10450.0
4.45,5.812,-0.7664,0.07837,10300.0
4.5,5.752,-0.8578,0.003171,10150.0
4.55,5.672,-0.7692,0.02197,10110.0
4.6,5.592,-0.6805,0.04077,10150.0
4.65,5.595,-0.7136,0.1502,10160.0
4.7,5.599,-0.7468,0.2596,10100.0
4.75,5.508,-0.6404,0.3004,10060.0
4.8,5.417,-0.5339,0.3413,10070.0
4.85,5.435,-0.321,0.2659,10070.0
4.9,5.452,-0.1081,0.1905,9985.0
4.95,5.412,-0.1513,0.2249,9834.0
5.0,5.372,-0.1946,0.2593,9716.0
5.05,5.439,-0.03921,0.1315,9664.0
5.1,5.506,0.1162,0.003624,9613.0
5.15,5.567,0.279,0.09875,9516.0
5.2,5.628,0.4419,0.1939,9427.0
5.25,5.561,0.4602,0.05006,9423.0
5.3,5.493,0.4786,-0.09377,9482.0
5.35,5.642,0.3445,-0.08618,9508.0
5.4,5.791,0.2103,-0.07859,9459.0
5.45,5.809,0.17,-0.06115,9387.0
5.5,5.828,0.1297,-0.04371,9341.0
5.55,5.767,0.08905,0.0111,9287.0
5.6,5.706,0.04837,0.06591,9172.0
5.65,5.697,0.05148,0.152,9018.0
5.7,5.688,0.0546,0.238,8909.0
5.75,5.704,0.04049,0.2368,8880.0
5.8,5.721,0.02638,0.2356,8879.0
5.85,5.674,-0.01557,0.3566,8849.0
5.9,5.627,-0.05753,0.4777,8807.0
5.95,5.659,-0.1116,0.5053,8803.0
6.0,5.691,-0.1656,0.533,8824.0
6.05,5.843,-0.1391,0.6456,8805.0
6.1,5.994,-0.1125,0.7583,8716.0
6.15,6.109,-0.2633,0.7709,8609.0
6.2,6.224,-0.4141,0.7835,8541.0
6.25,6.101,-0.3419,0.7768,8499.0
6.3,5.978,-0.2697,0.7701,8434.0
6.35,5.959,-0.2541,0.7707,8346.0
6.4,5.94,-0.2386,0.7712,8289.0
6.45,6.034,-0.384,0.8294,8284.0
6.5,6.128,-0.5295,0.8876,8289.0
6.55,6.178,-0.408,0.869,8254.0
6.6,6.228,-0.2866,0.8503,8191.0
6.65,6.312,-0.1294,0.9186,8147.0
6.7,6.396,0.02785,0.9869,8127.0
6.75,6.568,0.09491,0.8686,8089.0
6.8,6.74,0.162,0.7504,8013.0
6.85,6.732,0.3129,0.7437,7935.0
6.9,6.725,0.4639,0.737,7897.0
6.95,6.749,0.376,0.6241,7888.0
7.0,6.772,0.288,0.5112,7862.0
7.05,6.751,0.2582,0.6061,7810.0
7.1,6.731,0.2283,0.701,7762.0
7.15,6.649,0.3382,0.6737,7734.0
7.2,6.568,0.4482,0.6464,7702.0
7.25,6.519,0.3307,0.696,7638.0
7.3,6.47,0.2133,0.7456,7558.0
7.35,6.471,0.1847,0.6055,7507.0
7.4,6.472,0.1561,0.4655,7497.0
7.45,6.35,0.2754,0.4027,7495.0
7.5,6.227,0.3947,0.34,7474.0
7.55,6.293,0.4295,0.3374,7446.0
7.6,6.358,0.4643,0.3348,7425.0
7.65,6.348,0.4472,0.3144,7401.0
7.7,6.337,0.4302,0.294,7344.0
7.75,6.34,0.4509,0.264,7257.0
7.8,6.343,0.4716,0.234,7176.0
7.85,6.454,0.4705,0.2323,7133.0
7.9,6.564,0.4694,0.2306,7114.0
7.95,6.601,0.448,0.237,7093.0
8.0,6.637,0.4265,0.2435,7069.0
8.05,6.692,0.631,0.2337,7062.0
8.1,6.746,0.8355,0.224,7073.0
8.15,6.714,0.8646,0.1063,7071.0
8.2,6.683,0.8937,-0.01132,7035.0
8.25,6.575,0.725,0.01302,6980.0
8.3,6.466,0.5563,0.03737,6935.0
