Time,Wind1VelX,Wind1VelY,Wind1VelZ,GenPwr
0.0,4.689,-0.2753,0.2285,14840.0
0.05,4.873,-0.2528,0.2222,14270.0
0.1,5.056,-0.2303,0.2159,14140.0
0.15,5.038,-0.3204,0.181,14240.0
0.2,5.02,-0.4105,0.1462,14250.0
0.25,4.99,-0.4548,0.121,14150.0
0.3,4.96,-0.499,0.09576,14240.0
0.35,4.924,-0.4828,0.08032,14590.0
0.4,4.888,-0.4665,0.06488,14850.0
0.45,4.873,-0.4141,0.05894,14720.0
0.5,4.857,-0.3617,0.053,14360.0
0.55,4.872,-0.2702,0.08202,14130.0
0.6,4.886,-0.1788,0.111,14100.0
0.65,4.922,-0.1654,0.0893,13990.0
0.7,4.958,-0.152,0.06755,13700.0
0.75,4.926,-0.1075,0.09331,13500.0
0.8,4.894,-0.06295,0.1191,13630.0
0.85,4.892,0.06714,0.1727,13940.0
0.9,4.89,0.1972,0.2263,14060.0
0.95,4.741,0.1437,0.183,13920.0
1.0,4.592,0.09024,0.1397,13780.0
1.05,4.695,0.04284,0.1465,13820.0
1.1,4.799,-0.004548,0.1534,13830.0
1.15,4.853,0.01017,0.1234,13620.0
1.2,4.907,0.02489,0.09338,13290.0
1.25,4.903,-0.07456,0.1658,13160.0
1.3,4.899,-0.174,0.2381,13300.0
1.35,4.963,-0.1813,0.1635,13440.0
1.4,5.027,-0.1886,0.08878,13390.0
1.45,5.056,-0.1516,0.1145,13280.0
1.5,5.085,-0.1146,0.1401,13320.0
1.55,5.104,-0.21,0.1646,13420.0
1.6,5.122,-0.3054,0.1891,13330.0
1.65,5.097,-0.2808,0.2983,13020.0
1.7,5.072,-0.2561,0.4074,12740.0
1.75,5.055,-0.2286,0.4717,12710.0
1.8,5.039,-0.2011,0.5359,12790.0
1.85,4.993,-0.1763,0.4055,12770.0
1.9,4.947,-0.1515,0.2751,12690.0
1.95,4.988,-0.1354,0.1744,12730.0
2.0,5.028,-0.1192,0.07364,12920.0
2.05,5.074,-0.08078,0.03734,13010.0
2.1,5.12,-0.04237,0.001039,12840.0
2.15,5.095,-0.1315,-0.06644,12540.0
2.2,5.069,-0.2207,-0.1339,12350.0
2.25,4.981,-0.3243,-0.07052,12290.0
2.3,4.892,-0.428,-0.007126,12170.0
2.35,4.847,-0.4452,-0.009501,11970.0
2.4,4.802,-0.4624,-0.01188,11860.0
2.45,4.801,-0.4568,0.007052,11980.0
2.5,4.801,-0.4512,0.02598,12190.0
2.55,4.748,-0.4827,0.06079,12250.0
2.6,4.696,-0.5141,0.09561,12150.0
2.65,4.676,-0.6095,0.2307,12060.0
2.7,4.656,-0.7049,0.3658,12040.0
2.75,4.683,-0.7024,0.3105,11950.0
2.8,4.709,-0.6999,0.2552,11690.0
2.85,4.678,-0.6741,0.2767,11390.0
2.9,4.646,-0.6484,0.2981,11250.0
2.95,4.664,-0.6947,0.3011,11280.0
3.0,4.682,-0.741,0.304,11310.0
3.05,4.658,-0.7297,0.3242,11260.0
3.1,4.634,-0.7183,0.3443,11230.0
3.15,4.634,-0.7693,0.3942,11300.0
3.2,4.634,-0.8203,0.4442,11380.0
3.25,4.713,-0.7717,0.4321,11320.0
3.3,4.792,-0.7231,0.42,11100.0
3.35,4.758,-0.7534,0.2994,10900.0
3.4,4.725,-0.7836,0.1789,10820.0
3.45,4.654,-0.7751,0.06369,10760.0
3.5,4.583,-0.7666,-0.05152,10630.0
3.55,4.548,-0.739,-0.0815,10480.0
3.6,4.512,-0.7114,-0.1115,10460.0
3.65,4.545,-0.7091,-0.09145,10540.0
3.7,4.578,-0.7068,-0.07141,10580.0
3.75,4.589,-0.6892,-0.08678,10490.0
3.8,4.601,-0.6716,-0.1021,10350.0
3.85,4.637,-0.5523,-0.1662,10270.0
3.9,4.673,-0.433,-0.2303,10220.0
3.95,4.669,-0.3936,-0.2369,10110.0
4.0,4.665,-0.3542,-0.2435,9931.0
4.05,4.593,-0.4021,-0.1925,9811.0
4.1,4.52,-0.45,-0.1415,9816.0
4.15,4.627,-0.405,0.0,9857.0
4.2,4.733,-0.36,0.1415,9817.0
4.25,4.713,-0.3444,0.1229,9710.0
4.3,4.693,-0.3289,0.1042,9634.0
4.35,4.683,-0.3694,0.1067,9601.0
4.4,4.674,-0.41,0.1091,9520.0
4.45,4.638,-0.4642,0.0648,9345.0
4.5,4.602,-0.5184,0.02049,9163.0
4.55,4.554,-0.466,0.03192,9082.0
4.6,4.505,-0.4136,0.04335,9090.0
4.65,4.508,-0.4329,0.109,9086.0
4.7,4.51,-0.4521,0.1747,9030.0
4.75,4.456,-0.3889,0.1995,8988.0
4.8,4.401,-0.3258,0.2243,9000.0
4.85,4.411,-0.1988,0.1796,8997.0
4.9,4.421,-0.07181,0.135,8892.0
4.95,4.396,-0.0973,0.1555,8709.0
5.0,4.371,-0.1228,0.1761,8553.0
5.05,4.408,-0.0298,0.1002,8470.0
5.1,4.446,0.06319,0.02435,8404.0
5.15,4.481,0.16,0.08106,8304.0
5.2,4.516,0.2568,0.1378,8218.0
5.25,4.475,0.2682,0.05256,8212.0
5.3,4.435,0.2796,-0.03266,8263.0
5.35,4.523,0.2009,-0.02784,8273.0
5.4,4.612,0.1223,-0.02301,8201.0
5.45,4.622,0.09861,-0.01203,8102.0
5.5,4.633,0.07492,-0.001039,8030.0
5.55,4.596,0.0505,0.03236,7957.0
