Time,Wind1VelX,Wind1VelY,Wind1VelZ,GenPwr
0.0,3.0,-0.00655,0.0,14840.0
0.05,3.0,-0.00655,0.0,14270.0
0.1,3.0,-0.00655,0.0,14110.0
0.15,3.0,-0.00655,0.0,14190.0
0.2,3.0,-0.00655,0.0,14210.0
0.25,3.0,-0.00655,0.0,14140.0
0.3,3.0,-0.00655,0.0,14270.0
0.35,3.0,-0.00655,0.0,14660.0
0.4,3.0,-0.00655,0.0,14940.0
0.45,3.0,-0.00655,0.0,14800.0
0.5,3.0,-0.00655,0.0,14390.0
0.55,3.0,-0.00655,0.0,14090.0
0.6,3.0,-0.00655,0.0,14000.0
0.65,3.0,-0.00655,0.0,13860.0
0.7,3.0,-0.00655,0.0,13570.0
0.75,3.0,-0.00655,0.0,13410.0
0.8,3.0,-0.00655,0.0,13610.0
0.85,3.0,-0.00655,0.0,14000.0
0.9,3.0,-0.00655,0.0,14180.0
0.95,3.0,-0.00655,0.0,14070.0
1.0,3.0,-0.00655,0.0,13900.0
1.05,3.0,-0.00655,0.0,13840.0
1.1,3.0,-0.00655,0.0,13750.0
1.15,3.0,-0.00655,0.0,13440.0
1.2,3.0,-0.00655,0.0,13050.0
1.25,3.0,-0.00655,0.0,12910.0
1.3,3.0,-0.00655,0.0,13090.0
1.35,3.0,-0.00655,0.0,13300.0
1.4,3.0,-0.00655,0.0,13340.0
1.45,3.0,-0.00655,0.0,13290.0
1.5,3.0,-0.00655,0.0,13340.0
1.55,3.0,-0.00655,0.0,13410.0
1.6,3.0,-0.00655,0.0,13260.0
1.65,3.0,-0.00655,0.0,12870.0
1.7,3.0,-0.00655,0.0,12520.0
1.75,3.0,-0.00655,0.0,12420.0
1.8,3.0,-0.00655,0.0,12470.0
1.85,3.0,-0.00655,0.0,12460.0
1.9,3.0,-0.00655,0.0,12400.0
1.95,3.0,-0.00655,0.0,12480.0
2.0,3.0,-0.00655,0.0,12710.0
2.05,3.0,-0.00655,0.0,12840.0
2.1,3.0,-0.00655,0.0,12690.0
2.15,3.0,-0.00655,0.0,12370.0
2.2,3.0,-0.00655,0.0,12140.0
2.25,3.0,-0.00655,0.0,12010.0
2.3,3.0,-0.00655,0.0,11830.0
2.35,3.0,-0.00655,0.0,11580.0
2.4,3.0,-0.00655,0.0,11460.0
2.45,3.0,-0.00655,0.0,11580.0
2.5,3.0,-0.00655,0.0,11810.0
2.55,3.0,-0.00655,0.0,11920.0
2.6,3.0,-0.00655,0.0,11850.0
2.65,3.0,-0.00655,0.0,11760.0
2.7,3.0,-0.00655,0.0,11710.0
2.75,3.0,-0.00655,0.0,11570.0
2.8,3.0,-0.00655,0.0,11260.0
2.85,3.0,-0.00655,0.0,10900.0
2.9,3.0,-0.00655,0.0,10720.0
2.95,3.0,-0.00655,0.0,10740.0
3.0,3.0,-0.00655,0.0,10790.0
3.05,3.0,-0.00655,0.0,10780.0
3.1,3.0,-0.00655,0.0,10770.0
3.15,3.0,-0.00655,0.0,10860.0
3.2,3.0,-0.00655,0.0,10930.0
3.25,3.0,-0.00655,0.0,10830.0
3.3,3.0,-0.00655,0.0,10550.0
3.35,3.0,-0.00655,0.0,10280.0
3.4,3.0,-0.00655,0.0,10140.0
3.45,3.0,-0.00655,0.0,10050.0
3.5,3.0,-0.00655,0.0,9924.0
3.55,3.0,-0.00655,0.0,9806.0
3.6,3.0,-0.00655,0.0,9817.0
3.65,3.0,-0.00655,0.0,9938.0
3.7,3.0,-0.00655,0.0,9998.0
3.75,3.0,-0.00655,0.0,9895.0
3.8,3.0,-0.00655,0.0,9716.0
3.85,3.0,-0.00655,0.0,9580.0
3.9,3.0,-0.00655,0.0,9474.0
3.95,3.0,-0.00655,0.0,9305.0
4.0,3.0,-0.00655,0.0,9086.0
4.05,3.0,-0.00655,0.0,8948.0
4.1,3.0,-0.00655,0.0,8963.0
4.15,3.0,-0.00655,0.0,9035.0
4.2,3.0,-0.00655,0.0,9032.0
4.25,3.0,-0.00655,0.0,8951.0
4.3,3.0,-0.00655,0.0,8880.0
4.35,3.0,-0.00655,0.0,8833.0
4.4,3.0,-0.00655,0.0,8718.0
4.45,3.0,-0.00655,0.0,8493.0
4.5,3.0,-0.00655,0.0,8253.0
4.55,3.0,-0.00655,0.0,8121.0
4.6,3.0,-0.00655,0.0,8096.0
4.65,3.0,-0.00655,0.0,8080.0
4.7,3.0,-0.00655,0.0,8034.0
4.75,3.0,-0.00655,0.0,8013.0
4.8,3.0,-0.00655,0.0,8050.0
4.85,3.0,-0.00655,0.0,8066.0
4.9,3.0,-0.00655,0.0,7963.0
4.95,3.0,-0.00655,0.0,7760.0
5.0,3.0,-0.00655,0.0,7564.0
5.05,3.0,-0.00655,0.0,7430.0
5.1,3.0,-0.00655,0.0,7316.0
5.15,3.0,-0.00655,0.0,7186.0
5.2,3.0,-0.00655,0.0,7088.0
5.25,3.0,-0.00655,0.0,7087.0
5.3,3.0,-0.00655,0.0,7155.0
5.35,3.0,-0.00655,0.0,7185.0
5.4,3.0,-0.00655,0.0,7125.0
5.45,3.0,-0.00655,0.0,7021.0
5.5,3.0,-0.00655,0.0,6927.0
5.55,3.0,-0.00655,0.0,6821.0
5.6,3.0,-0.00655,0.0,6660.0
5.65,3.0,-0.00655,0.0,6471.0
5.7,3.0,-0.00655,0.0,6341.0
5.75,3.0,-0.00655,0.0,6306.0
5.8,3.0,-0.00655,0.0,6311.0
5.85,3.0,-0.00655,0.0,6290.0
5.9,3.0,-0.00655,0.0,6251.0
5.95,3.0,-0.00655,0.0,6232.0
6.0,3.0,-0.00655,0.0,6218.0
6.05,3.0,-0.00655,0.0,6149.0
6.1,3.0,-0.00655,0.0,6007.0
6.15,3.0,-0.00655,0.0,5849.0
6.2,3.0,-0.00655,0.0,5739.0
6.25,3.0,-0.00655,0.0,5674.0
6.3,3.0,-0.00655,0.0,5608.0
6.35,3.0,-0.00655,0.0,5538.0
6.4,3.0,-0.00655,0.0,5504.0
6.45,3.0,-0.00655,0.0,5514.0
6.5,3.0,-0.00655,0.0,5517.0
6.55,3.0,-0.00655,0.0,5462.0
6.6,3.0,-0.00655,0.0,5360.0
6.65,3.0,-0.00655,0.0,5261.0
6.7,3.0,-0.00655,0.0,5183.0
6.75,3.0,-0.00655,0.0,5100.0
6.8,3.0,-0.00655,0.0,5001.0
6.85,3.0,-0.00655,0.0,4921.0
6.9,3.0,-0.00655,0.0,4897.0
6.95,3.0,-0.00655,0.0,4907.0
7.0,3.0,-0.00655,0.0,4899.0
7.05,3.0,-0.00655,0.0,4852.0
7.1,3.0,-0.00655,0.0,4792.0
7.15,3.0,-0.00655,0.0,4738.0
7.2,3.0,-0.00655,0.0,4672.0
7.25,3.0,-0.00655,0.0,4572.0
7.3,3.0,-0.00655,0.0,4459.0
7.35,3.0,-0.00655,0.0,4380.0
7.4,3.0,-0.00655,0.0,4350.0
7.45,3.0,-0.00655,0.0,4337.0
7.5,3.0,-0.00655,0.0,4314.0
7.55,3.0,-0.00655,0.0,4289.0
7.6,3.0,-0.00655,0.0,4275.0
7.65,3.0,-0.00655,0.0,4259.0
7.7,3.0,-0.00655,0.0,4207.0
7.75,3.0,-0.00655,0.0,4114.0
7.8,3.0,-0.00655,0.0,4014.0
7.85,3.0,-0.00655,0.0,3938.0
7.9,3.0,-0.00655,0.0,3883.0
7.95,3.0,-0.00655,0.0,3831.0
8.0,3.0,-0.00655,0.0,3786.0
8.05,3.0,-0.00655,0.0,3770.0
8.1,3.0,-0.00655,0.0,3781.0
8.15,3.0,-0.00655,0.0,3786.0
8.2,3.0,-0.00655,0.0,3759.0
8.25,3.0,-0.00655,0.0,3704.0
8.3,3.0,-0.00655,0.0,3646.0
8.35,3.0,-0.00655,0.0,3589.0
8.4,3.0,-0.00655,0.0,3520.0
8.45,3.0,-0.00655,0.0,3441.0
8.5,3.0,-0.00655,0.0,3378.0
8.55,3.0,-0.00655,0.0,3350.0
8.6,3.0,-0.00655,0.0,3344.0
8.65,3.0,-0.00655,0.0,3336.0
8.7,3.0,-0.00655,0.0,3316.0
8.75,3.0,-0.00655,0.0,3294.0
8.8,3.0,-0.00655,0.0,3273.0
8.85,3.0,-0.00655,0.0,3238.0
8.9,3.0,-0.00655,0.0,3177.0
8.95,3.0,-0.00655,0.0,3105.0
9.0,3.0,-0.00655,0.0,3047.0
9.05,3.0,-0.00655,0.0,3010.0
9.1,3.0,-0.00655,0.0,2982.0
9.15,3.0,-0.00655,0.0,2953.0
9.2,3.0,-0.00655,0.0,2931.0
9.25,3.0,-0.00655,0.0,2924.0
9.3,3.0,-0.00655,0.0,2918.0
9.35,3.0,-0.00655,0.0,2894.0
9.4,3.0,-0.00655,0.0,2849.0
9.45,3.0,-0.00655,0.0,2800.0
9.5,3.0,-0.00655,0.0,2758.0
9.55,3.0,-0.00655,0.0,2720.0
9.6,3.0,-0.00655,0.0,2680.0
9.65,3.0,-0.00655,0.0,2643.0
9.7,3.0,-0.00655,0.0,2623.0
9.75,3.0,-0.00655,0.0,2618.0
9.8,3.0,-0.00655,0.0,2611.0
9.85,3.0,-0.00655,0.0,2591.0
9.9,3.0,-0.00655,0.0,2560.0
9.95,3.0,-0.00655,0.0,2529.0
10.0,3.0,-0.00655,0.0,2497.0
10.05,3.0,-0.00655,0.0,2456.0
10.1,3.0,-0.00655,0.0,2409.0
10.15,3.0,-0.00655,0.0,2371.0
10.2,3.0,-0.00655,0.0,2351.0
10.25,3.0,-0.00655,0.0,2342.0
10.3,3.0,-0.00655,0.0,2331.0
10.35,3.0,-0.00655,0.0,2316.0
10.4,3.0,-0.00655,0.0,2303.0
10.45,3.0,-0.00655,0.0,2289.0
10.5,3.0,-0.00655,0.0,2266.0
10.55,3.0,-0.00655,0.0,2228.0
10.6,3.0,-0.00655,0.0,2184.0
10.65,3.0,-0.00655,0.0,2148.0
10.7,3.0,-0.00655,0.0,2123.0
10.75,3.0,-0.00655,0.0,2102.0
10.8,3.0,-0.00655,0.0,2084.0
10.85,3.0,-0.00655,0.0,2074.0
10.9,3.0,-0.00655,0.0,2072.0
10.95,3.0,-0.00655,0.0,2071.0
11.0,3.0,-0.00655,0.0,2058.0
11.05,3.0,-0.00655,0.0,2033.0
11.1,3.0,-0.00655,0.0,2005.0
11.15,3.0,-0.00655,0.0,1977.0
11.2,3.0,-0.00655,0.0,1948.0
11.25,3.0,-0.00655,0.0,1917.0
11.3,3.0,-0.00655,0.0,1891.0
11.35,3.0,-0.00655,0.0,1876.0
11.4,3.0,-0.00655,0.0,1872.0
11.45,3.0,-0.00655,0.0,1869.0
11.5,3.0,-0.00655,0.0,1861.0
11.55,3.0,-0.00655,0.0,1850.0
11.6,3.0,-0.00655,0.0,1837.0
11.65,3.0,-0.00655,0.0,1821.0
11.7,3.0,-0.00655,0.0,1796.0
11.75,3.0,-0.00655,0.0,1767.0
11.8,3.0,-0.00655,0.0,1740.0
11.85,3.0,-0.00655,0.0,1723.0
11.9,3.0,-0.00655,0.0,1711.0
11.95,3.0,-0.00655,0.0,1701.0
12.0,3.0,-0.00655,0.0,1692.0
12.05,3.0,-0.00655,0.0,1687.0
12.1,3.0,-0.00655,0.0,1684.0
12.15,3.0,-0.00655,0.0,1675.0
12.2,3.0,-0.00655,0.0,1657.0
12.25,3.0,-0.00655,0.0,1636.0
12.3,3.0,-0.00655,0.0,1616.0
12.35,3.0,-0.00655,0.0,1600.0
12.4,3.0,-0.00655,0.0,1584.0
12.45,3.0,-0.00655,0.0,1570.0
12.5,3.0,-0.00655,0.0,1561.0
12.55,3.0,-0.00655,0.0,1558.0
12.6,3.0,-0.00655,0.0,1556.0
12.65,3.0,-0.00655,0.0,1549.0
12.7,3.0,-0.00655,0.0,1537.0
12.75,3.0,-0.00655,0.0,1523.0
12.8,3.0,-0.00655,0.0,1509.0
12.85,3.0,-0.00655,0.0,1493.0
12.9,3.0,-0.00655,0.0,1476.0
12.95,3.0,-0.00655,0.0,1460.0
13.0,3.0,-0.00655,0.0,1451.0
13.05,3.0,-0.00655,0.0,1447.0
13.1,3.0,-0.00655,0.0,1444.0
13.15,3.0,-0.00655,0.0,1439.0
13.2,3.0,-0.00655,0.0,1433.0
13.25,3.0,-0.00655,0.0,1427.0
13.3,3.0,-0.00655,0.0,1417.0
13.35,3.0,-0.00655,0.0,1402.0
13.4,3.0,-0.00655,0.0,1384.0
13.45,3.0,-0.00655,0.0,1369.0
13.5,3.0,-0.00655,0.0,1358.0
13.55,3.0,-0.00655,0.0,1350.0
13.6,3.0,-0.00655,0.0,1344.0
