Time,Wind1VelX,Wind1VelY,Wind1VelZ,GenPwr
0.0,7.83,-0.483,0.448,14840.0
0.05,8.231,-0.4326,0.4341,14300.0
0.1,8.633,-0.3821,0.4201,14190.0
0.15,8.597,-0.5755,0.3455,14340.0
0.2,8.562,-0.7689,0.2709,14370.0
0.25,8.503,-0.8634,0.2169,14270.0
0.3,8.444,-0.9579,0.1629,14330.0
0.35,8.371,-0.9232,0.1295,14650.0
0.4,8.298,-0.8886,0.09608,14880.0
0.45,8.268,-0.7749,0.08265,14730.0
0.5,8.239,-0.6612,0.06923,14370.0
0.55,8.275,-0.4642,0.1303,14170.0
0.6,8.311,-0.2671,0.1914,14180.0
0.65,8.394,-0.2383,0.1435,14130.0
0.7,8.477,-0.2094,0.09555,13870.0
0.75,8.412,-0.1141,0.1492,13690.0
0.8,8.347,-0.01881,0.2029,13840.0
0.85,8.347,0.262,0.3168,14140.0
0.9,8.348,0.5428,0.4306,14230.0
0.95,8.03,0.4268,0.3363,14090.0
1.0,7.712,0.3107,0.2419,13990.0
1.05,7.94,0.2099,0.2559,14070.0
1.1,8.167,0.109,0.2698,14130.0
1.15,8.29,0.1421,0.2039,13970.0
1.2,8.413,0.1752,0.1379,13710.0
1.25,8.409,-0.03847,0.2926,13640.0
1.3,8.405,-0.2522,0.4472,13810.0
1.35,8.547,-0.2665,0.2857,13940.0
1.4,8.689,-0.2808,0.1242,13880.0
1.45,8.755,-0.2005,0.1778,13780.0
1.5,8.822,-0.1201,0.2314,13840.0
1.55,8.866,-0.3246,0.2819,13970.0
1.6,8.911,-0.5292,0.3325,13910.0
1.65,8.86,-0.4753,0.5649,13660.0
1.7,8.809,-0.4214,0.7973,13460.0
1.75,8.777,-0.361,0.9348,13480.0
1.8,8.744,-0.3005,1.072,13600.0
1.85,8.649,-0.246,0.794,13590.0
1.9,8.554,-0.1915,0.5157,13520.0
1.95,8.646,-0.1556,0.3022,13570.0
2.0,8.738,-0.1197,0.08871,13760.0
2.05,8.839,-0.03548,0.01303,13870.0
2.1,8.941,0.04873,-0.06265,13730.0
2.15,8.891,-0.1423,-0.2064,13510.0
2.2,8.84,-0.3334,-0.3501,13420.0
2.25,8.653,-0.5559,-0.214,13430.0
2.3,8.466,-0.7783,-0.07791,13360.0
2.35,8.371,-0.8136,-0.08449,13180.0
2.4,8.277,-0.8489,-0.09108,13090.0
2.45,8.278,-0.836,-0.05238,13220.0
2.5,8.28,-0.8232,-0.01369,13420.0
2.55,8.17,-0.8897,0.05817,13480.0
2.6,8.059,-0.9562,0.13,13420.0
2.65,8.02,-1.16,0.4175,13410.0
2.7,7.981,-1.365,0.7049,13470.0
2.75,8.041,-1.358,0.5844,13460.0
2.8,8.101,-1.352,0.4638,13280.0
2.85,8.035,-1.295,0.5088,13050.0
2.9,7.97,-1.239,0.5538,12980.0
2.95,8.011,-1.338,0.5592,13040.0
3.0,8.053,-1.437,0.5646,13070.0
3.05,8.003,-1.412,0.6074,13020.0
3.1,7.953,-1.388,0.6502,13010.0
3.15,7.956,-1.497,0.758,13130.0
3.2,7.959,-1.607,0.8657,13270.0
3.25,8.13,-1.501,0.8418,13260.0
3.3,8.301,-1.396,0.8178,13120.0
3.35,8.231,-1.461,0.5632,13020.0
3.4,8.161,-1.527,0.3085,13010.0
3.45,8.01,-1.509,0.06541,13010.0
3.5,7.858,-1.491,-0.1777,12920.0
3.55,7.784,-1.433,-0.2391,12820.0
3.6,7.709,-1.375,-0.3006,12850.0
3.65,7.781,-1.371,-0.2555,12970.0
3.7,7.854,-1.366,-0.2103,13030.0
3.75,7.88,-1.33,-0.2416,12960.0
3.8,7.907,-1.293,-0.273,12880.0
3.85,7.986,-1.036,-0.4096,12890.0
3.9,8.065,-0.7796,-0.5462,12920.0
3.95,8.058,-0.6961,-0.5612,12860.0
4.0,8.05,-0.6125,-0.5762,12750.0
4.05,7.896,-0.7179,-0.4689,12700.0
4.1,7.742,-0.8232,-0.3617,12770.0
4.15,7.974,-0.7268,-0.0608,12830.0
4.2,8.205,-0.6305,0.2401,12800.0
4.25,8.164,-0.5975,0.1975,12720.0
4.3,8.123,-0.5646,0.155,12710.0
4.35,8.105,-0.6525,0.1589,12750.0
4.4,8.086,-0.7403,0.1627,12720.0
4.45,8.011,-0.8587,0.06594,12610.0
4.5,7.937,-0.9771,-0.0308,12510.0
4.55,7.835,-0.866,-0.008028,12510.0
4.6,7.733,-0.7548,0.01474,12570.0
4.65,7.74,-0.7978,0.1536,12590.0
4.7,7.748,-0.8407,0.2924,12560.0
4.75,7.633,-0.7067,0.3439,12570.0
4.8,7.519,-0.5728,0.3954,12630.0
4.85,7.543,-0.3003,0.2982,12660.0
4.9,7.567,-0.02778,0.2011,12590.0
4.95,7.516,-0.08527,0.2449,12470.0
5.0,7.465,-0.1428,0.2888,12400.0
5.05,7.548,0.05663,0.125,12400.0
5.1,7.631,0.256,-0.03869,12400.0
5.15,7.709,0.4625,0.08265,12340.0
5.2,7.787,0.6689,0.204,12300.0
5.25,7.702,0.6926,0.01987,12340.0
5.3,7.617,0.7164,-0.1643,12420.0
5.35,7.813,0.5469,-0.1553,12430.0
5.4,8.009,0.3774,-0.1464,12380.0
5.45,8.034,0.3257,-0.1256,12330.0
5.5,8.06,0.274,-0.1048,12330.0
5.55,7.983,0.2208,-0.03646,12340.0
5.6,7.907,0.1676,0.03185,12280.0
5.65,7.897,0.1712,0.1396,12190.0
5.7,7.888,0.1748,0.2474,12150.0
5.75,7.912,0.1556,0.2433,12170.0
5.8,7.936,0.1363,0.2393,12200.0
5.85,7.876,0.08292,0.3913,12170.0
5.9,7.815,0.02949,0.5433,12120.0
5.95,7.859,-0.03932,0.5763,12120.0
6.0,7.903,-0.1081,0.6094,12150.0
6.05,8.098,-0.0733,0.7508,12130.0
6.1,8.292,-0.03847,0.8923,12060.0
6.15,8.442,-0.2289,0.9067,12000.0
6.2,8.592,-0.4193,0.921,12000.0
6.25,8.433,-0.33,0.9111,12030.0
6.3,8.275,-0.2406,0.9013,12020.0
6.35,8.25,-0.2206,0.9007,11970.0
6.4,8.225,-0.2005,0.9002,11950.0
6.45,8.348,-0.3853,0.9738,11980.0
6.5,8.472,-0.5702,1.047,11980.0
6.55,8.534,-0.4146,1.023,11920.0
6.6,8.596,-0.259,0.9984,11840.0
6.65,8.704,-0.05728,1.086,11810.0
6.7,8.812,0.1445,1.173,11830.0
6.75,9.031,0.2321,1.022,11830.0
6.8,9.25,0.3197,0.8713,11800.0
6.85,9.239,0.5112,0.8636,11800.0
6.9,9.228,0.7027,0.856,11840.0
6.95,9.259,0.5888,0.7124,11900.0
7.0,9.291,0.4749,0.5688,11890.0
7.05,9.264,0.4373,0.6906,11820.0
7.1,9.238,0.3996,0.8123,11760.0
7.15,9.132,0.5396,0.7782,11740.0
7.2,9.025,0.6796,0.7441,11730.0
7.25,8.965,0.5274,0.8086,11670.0
7.3,8.905,0.3753,0.8731,11620.0
7.35,8.908,0.3379,0.6956,11640.0
7.4,8.911,0.3005,0.518,11710.0
7.45,8.751,0.452,0.4393,11760.0
7.5,8.592,0.6035,0.3606,11770.0
7.55,8.674,0.6482,0.3588,11760.0
7.6,8.756,0.6929,0.3569,11780.0
7.65,8.743,0.6689,0.3321,11800.0
7.7,8.73,0.645,0.3072,11760.0
7.75,8.732,0.6732,0.2697,11680.0
7.8,8.733,0.7014,0.2322,11620.0
7.85,8.874,0.7003,0.2308,11610.0
7.9,9.015,0.6993,0.2295,11620.0
7.95,9.061,0.6717,0.2385,11620.0
8.0,9.108,0.6441,0.2474,11620.0
8.05,9.175,0.9049,0.2358,11660.0
8.1,9.242,1.166,0.2243,11720.0
8.15,9.201,1.202,0.07476,11750.0
8.2,9.16,1.239,-0.07476,11720.0
8.25,9.022,1.023,-0.04343,11670.0
8.3,8.884,0.8066,-0.01211,11640.0
8.35,8.997,0.5928,0.1295,11620.0
8.4,9.11,0.3791,0.2711,11590.0
8.45,9.234,0.3317,0.1046,11560.0
8.5,9.359,0.2842,-0.06186,11560.0
8.55,9.396,0.4014,-0.1292,11610.0
8.6,9.434,0.5185,-0.1966,11670.0
8.65,9.402,0.5437,-0.1794,11700.0
8.7,9.37,0.5689,-0.1621,11690.0
8.75,9.432,0.5422,-0.02435,11680.0
8.8,9.494,0.5155,0.1134,11670.0
8.85,9.327,0.714,0.185,11650.0
8.9,9.16,0.9126,0.2566,11600.0
8.95,9.348,0.8399,0.3867,11560.0
9.0,9.535,0.7672,0.5167,11570.0
9.05,9.58,0.5377,0.6067,11610.0
9.1,9.624,0.3082,0.6968,11640.0
9.15,9.525,0.4005,0.798,11670.0
9.2,9.427,0.4928,0.8992,11690.0
9.25,9.392,0.4131,1.113,11700.0
9.3,9.358,0.3334,1.327,11710.0
