Time,Wind1VelX,Wind1VelY,Wind1VelZ,GenPwr
0.0,7.376,-0.4648,0.4302,14840.0
0.05,7.757,-0.4171,0.4171,14290.0
0.1,8.137,-0.3693,0.404,14180.0
0.15,8.103,-0.5531,0.333,14320.0
0.2,8.069,-0.737,0.262,14350.0
0.25,8.012,-0.8271,0.2105,14240.0
0.3,7.955,-0.9173,0.159,14310.0
0.35,7.885,-0.8842,0.1273,14630.0
0.4,7.815,-0.8511,0.09558,14870.0
0.45,7.787,-0.7434,0.08284,14720.0
0.5,7.758,-0.6356,0.07009,14360.0
0.55,7.792,-0.4483,0.1285,14160.0
0.6,7.826,-0.261,0.1868,14170.0
0.65,7.904,-0.2339,0.1412,14100.0
0.7,7.982,-0.2068,0.09558,13840.0
0.75,7.92,-0.1158,0.1468,13640.0
0.8,7.857,-0.02481,0.198,13780.0
0.85,7.857,0.2415,0.3062,14080.0
0.9,7.857,0.5078,0.4144,14190.0
0.95,7.555,0.3978,0.325,14050.0
1.0,7.253,0.2878,0.2355,13940.0
1.05,7.468,0.1921,0.2488,14020.0
1.1,7.684,0.09636,0.262,14090.0
1.15,7.8,0.1276,0.1998,13910.0
1.2,7.915,0.1588,0.1376,13620.0
1.25,7.911,-0.04404,0.2843,13540.0
1.3,7.906,-0.2469,0.431,13700.0
1.35,8.041,-0.261,0.2777,13830.0
1.4,8.175,-0.275,0.1244,13780.0
1.45,8.238,-0.1989,0.1757,13680.0
1.5,8.3,-0.1228,0.2271,13740.0
1.55,8.342,-0.3168,0.2751,13860.0
1.6,8.383,-0.5107,0.3232,13810.0
1.65,8.335,-0.4599,0.5442,13540.0
1.7,8.286,-0.409,0.7652,13330.0
1.75,8.255,-0.3515,0.8956,13350.0
1.8,8.224,-0.294,1.026,13450.0
1.85,8.133,-0.243,0.7616,13440.0
1.9,8.041,-0.1919,0.497,13360.0
1.95,8.128,-0.1574,0.2939,13400.0
2.0,8.215,-0.1228,0.09074,13600.0
2.05,8.311,-0.04322,0.01848,13700.0
2.1,8.407,0.03639,-0.05378,13560.0
2.15,8.359,-0.1452,-0.1903,13330.0
2.2,8.311,-0.3267,-0.3268,13220.0
2.25,8.132,-0.5378,-0.1975,13220.0
2.3,7.953,-0.7489,-0.06831,13150.0
2.35,7.863,-0.7829,-0.0743,12970.0
2.4,7.773,-0.8168,-0.08029,12880.0
2.45,7.774,-0.8048,-0.04333,13000.0
2.5,7.775,-0.7928,-0.006372,13200.0
2.55,7.67,-0.8561,0.06206,13260.0
2.6,7.565,-0.9193,0.1305,13180.0
2.65,7.527,-1.113,0.4039,13150.0
2.7,7.489,-1.307,0.6772,13200.0
2.75,7.546,-1.301,0.5628,13180.0
2.8,7.603,-1.295,0.4483,12990.0
2.85,7.54,-1.241,0.4912,12750.0
2.9,7.477,-1.188,0.534,12660.0
2.95,7.516,-1.282,0.5395,12720.0
3.0,7.554,-1.377,0.5449,12760.0
3.05,7.506,-1.353,0.5857,12700.0
3.1,7.459,-1.33,0.6265,12670.0
3.15,7.461,-1.434,0.7287,12780.0
3.2,7.464,-1.538,0.8309,12910.0
3.25,7.626,-1.438,0.8078,12900.0
3.3,7.789,-1.337,0.7848,12740.0
3.35,7.722,-1.399,0.5424,12610.0
3.4,7.655,-1.462,0.3,12600.0
3.45,7.511,-1.445,0.06844,12590.0
3.5,7.367,-1.428,-0.1631,12490.0
3.55,7.295,-1.373,-0.2216,12370.0
3.6,7.224,-1.318,-0.2801,12390.0
3.65,7.292,-1.313,-0.2375,12520.0
3.7,7.361,-1.309,-0.195,12580.0
