Time,Wind1VelX,Wind1VelY,Wind1VelZ,GenPwr
0.0,11.33,-0.4414,0.411,14840.0
0.05,11.73,-0.3918,0.3978,14330.0
0.1,12.13,-0.3421,0.3846,14260.0
0.15,12.1,-0.5303,0.3122,14440.0
0.2,12.06,-0.7185,0.2397,14490.0
0.25,12.01,-0.8107,0.1876,14410.0
0.3,11.95,-0.903,0.1356,14470.0
0.35,11.89,-0.8688,0.1032,14770.0
0.4,11.82,-0.8345,0.07072,14990.0
0.45,11.79,-0.7236,0.0573,14840.0
0.5,11.76,-0.6127,0.04388,14490.0
0.55,11.8,-0.4203,0.1033,14310.0
0.6,11.84,-0.2279,0.1627,14360.0
0.65,11.92,-0.2,0.1152,14360.0
0.7,12.01,-0.172,0.06768,14160.0
0.75,11.94,-0.07896,0.1193,14020.0
0.8,11.88,0.01408,0.1708,14180.0
0.85,11.89,0.2885,0.2808,14480.0
0.9,11.89,0.5628,0.3907,14590.0
0.95,11.58,0.4492,0.2985,14480.0
1.0,11.27,0.3356,0.2063,14390.0
1.05,11.5,0.2376,0.2197,14500.0
1.1,11.72,0.1397,0.2332,14620.0
1.15,11.84,0.1731,0.1683,14540.0
1.2,11.97,0.2066,0.1034,14340.0
1.25,11.96,-0.001712,0.2535,14310.0
1.3,11.96,-0.2101,0.4035,14510.0
1.35,12.11,-0.2234,0.2455,14680.0
1.4,12.25,-0.2367,0.08752,14650.0
1.45,12.32,-0.1577,0.1394,14560.0
1.5,12.38,-0.07877,0.1914,14620.0
1.55,12.43,-0.2778,0.2391,14770.0
1.6,12.48,-0.4768,0.2868,14770.0
1.65,12.43,-0.4235,0.5119,14580.0
1.7,12.38,-0.3703,0.737,14450.0
1.75,12.36,-0.3107,0.8709,14530.0
1.8,12.33,-0.2512,1.005,14700.0
1.85,12.24,-0.1977,0.7352,14760.0
1.9,12.15,-0.1442,0.4656,14720.0
1.95,12.24,-0.1083,0.2598,14780.0
2.0,12.33,-0.0723,0.05391,14970.0
2.05,12.44,0.01085,-0.01809,15100.0
2.1,12.54,0.09399,-0.09009,15020.0
2.15,12.49,-0.09171,-0.2292,14850.0
2.2,12.45,-0.2774,-0.3683,14810.0
2.25,12.27,-0.4934,-0.2357,14880.0
2.3,12.09,-0.7093,-0.1032,14880.0
2.35,12.0,-0.743,-0.1102,14780.0
2.4,11.91,-0.7767,-0.1172,14730.0
2.45,11.91,-0.7634,-0.08064,14880.0
2.5,11.92,-0.75,-0.04411,15120.0
2.55,11.81,-0.814,0.02427,15230.0
2.6,11.71,-0.8779,0.09265,15210.0
2.65,11.67,-1.077,0.3709,15220.0
2.7,11.64,-1.276,0.649,15320.0
2.75,11.7,-1.268,0.5301,15380.0
2.8,11.76,-1.261,0.4112,15290.0
2.85,11.7,-1.205,0.4546,15130.0
2.9,11.64,-1.149,0.498,15100.0
2.95,11.68,-1.246,0.5029,15220.0
3.0,11.73,-1.342,0.5079,15320.0
3.05,11.68,-1.318,0.5494,15320.0
3.1,11.64,-1.293,0.5909,15340.0
3.15,11.64,-1.4,0.6964,15500.0
3.2,11.65,-1.507,0.8019,15690.0
3.25,11.82,-1.404,0.7802,15750.0
3.3,11.99,-1.3,0.7585,15670.0
3.35,11.92,-1.365,0.513,15620.0
3.4,11.86,-1.429,0.2675,15680.0
3.45,11.71,-1.412,0.03372,15760.0
3.5,11.57,-1.395,-0.2,15750.0
3.55,11.5,-1.338,-0.2575,15690.0
3.6,11.42,-1.282,-0.3151,15750.0
3.65,11.5,-1.279,-0.2696,15900.0
3.7,11.57,-1.276,-0.2241,16010.0
3.75,11.6,-1.24,-0.2536,16000.0
3.8,11.63,-1.204,-0.2831,15970.0
3.85,11.71,-0.9548,-0.4154,16030.0
3.9,11.79,-0.7051,-0.5478,16130.0
3.95,11.78,-0.6245,-0.5625,16170.0
4.0,11.78,-0.5438,-0.5772,16130.0
4.05,11.63,-0.6473,-0.4741,16110.0
4.1,11.48,-0.7508,-0.3711,16190.0
4.15,11.71,-0.6572,-0.07982,16300.0
4.2,11.94,-0.5636,0.2114,16340.0
4.25,11.9,-0.5322,0.1685,16330.0
4.3,11.86,-0.5008,0.1256,16380.0
4.35,11.84,-0.5872,0.1284,16490.0
4.4,11.83,-0.6736,0.1312,16570.0
4.45,11.76,-0.7902,0.03617,16560.0
4.5,11.69,-0.9068,-0.05881,16510.0
4.55,11.59,-0.7988,-0.03746,16530.0
4.6,11.49,-0.6907,-0.0161,16630.0
4.65,11.5,-0.7341,0.1177,16710.0
4.7,11.51,-0.7774,0.2516,16730.0
4.75,11.4,-0.6479,0.3007,16770.0
4.8,11.29,-0.5183,0.3498,16860.0
4.85,11.32,-0.2533,0.2547,16960.0
4.9,11.34,0.0118,0.1596,16980.0
4.95,11.3,-0.04547,0.2022,16930.0
5.0,11.25,-0.1027,0.2448,16900.0
5.05,11.33,0.09038,0.08519,16950.0
5.1,11.41,0.2835,-0.07445,17020.0
5.15,11.49,0.4844,0.04364,17040.0
5.2,11.57,0.6854,0.1617,17040.0
5.25,11.49,0.7076,-0.01785,17090.0
5.3,11.41,0.7299,-0.1974,17190.0
5.35,11.6,0.564,-0.1894,17260.0
5.4,11.79,0.398,-0.1813,17290.0
5.45,11.82,0.3469,-0.1624,17310.0
5.5,11.85,0.2957,-0.1435,17360.0
5.55,11.77,0.2437,-0.07923,17420.0
5.6,11.7,0.1918,-0.01494,17430.0
5.65,11.69,0.195,0.08752,17400.0
5.7,11.68,0.1983,0.19,17370.0
5.75,11.71,0.1792,0.1834,17400.0
5.8,11.73,0.1602,0.1769,17460.0
5.85,11.67,0.1079,0.3221,17500.0
5.9,11.61,0.05556,0.4672,17500.0
5.95,11.66,-0.0118,0.4965,17540.0
6.0,11.7,-0.07915,0.5258,17620.0
6.05,11.89,-0.04509,0.6611,17680.0
6.1,12.08,-0.01104,0.7963,17680.0
6.15,12.23,-0.1975,0.8082,17650.0
6.2,12.37,-0.384,0.8201,17660.0
6.25,12.22,-0.2966,0.8089,17700.0
6.3,12.06,-0.2093,0.7977,17740.0
6.35,12.04,-0.1903,0.796,17730.0
6.4,12.01,-0.1712,0.7942,17730.0
6.45,12.13,-0.3522,0.865,17770.0
6.5,12.25,-0.5331,0.9359,17840.0
6.55,12.31,-0.3823,0.9114,17890.0
6.6,12.37,-0.2314,0.8869,17880.0
6.65,12.48,-0.03482,0.9718,17890.0
6.7,12.58,0.1617,1.057,17940.0
6.75,12.79,0.2464,0.9106,17990.0
6.8,13.01,0.3311,0.7643,18010.0
6.85,12.99,0.517,0.7578,18000.0
6.9,12.98,0.7029,0.7513,18030.0
6.95,13.01,0.5914,0.6123,18110.0
7.0,13.04,0.4799,0.4733,18150.0
7.05,13.01,0.4422,0.5928,18130.0
7.1,12.99,0.4045,0.7123,18090.0
7.15,12.88,0.5411,0.6797,18090.0
7.2,12.77,0.6777,0.6472,18130.0
7.25,12.71,0.5288,0.7114,18170.0
7.3,12.65,0.3798,0.7755,18180.0
7.35,12.65,0.3427,0.6044,18200.0
7.4,12.65,0.3056,0.4332,18270.0
7.45,12.49,0.4532,0.3585,18350.0
7.5,12.34,0.6009,0.2838,18360.0
7.55,12.41,0.6439,0.2834,18330.0
7.6,12.49,0.6869,0.2831,18340.0
7.65,12.48,0.6635,0.2601,18390.0
7.7,12.46,0.6401,0.2371,18440.0
