Time,Wind1VelX,Wind1VelY,Wind1VelZ,GenPwr
0.0,3.0,-0.0,0.0,14840.0
0.05,3.0,-0.0,0.0,14270.0
0.1,3.0,-0.0,0.0,14110.0
0.15,3.0,-0.0,0.0,14190.0
0.2,3.0,-0.0,0.0,14210.0
0.25,3.0,-0.0,0.0,14140.0
0.3,3.0,-0.0,0.0,14270.0
0.35,3.0,-0.0,0.0,14660.0
0.4,3.0,-0.0,0.0,14940.0
0.45,3.0,-0.0,0.0,14800.0
0.5,3.0,-0.0,0.0,14380.0
0.55,3.0,-0.0,0.0,14090.0
0.6,3.0,-0.0,0.0,14000.0
0.65,3.0,-0.0,0.0,13860.0
0.7,3.0,-0.0,0.0,13570.0
0.75,3.0,-0.0,0.0,13410.0
0.8,3.0,-0.0,0.0,13620.0
0.85,3.0,-0.0,0.0,14000.0
0.9,3.0,-0.0,0.0,14180.0
0.95,3.0,-0.0,0.0,14060.0
1.0,3.0,-0.0,0.0,13890.0
1.05,3.0,-0.0,0.0,13840.0
1.1,3.0,-0.0,0.0,13750.0
1.15,3.0,-0.0,0.0,13440.0
1.2,3.0,-0.0,0.0,13050.0
1.25,3.0,-0.0,0.0,12910.0
1.3,3.0,-0.0,0.0,13090.0
1.35,3.0,-0.0,0.0,13310.0
1.4,3.0,-0.0,0.0,13340.0
1.45,3.0,-0.0,0.0,13290.0
1.5,3.0,-0.0,0.0,13340.0
1.55,3.0,-0.0,0.0,13410.0
1.6,3.0,-0.0,0.0,13260.0
1.65,3.0,-0.0,0.0,12870.0
1.7,3.0,-0.0,0.0,12520.0
1.75,3.0,-0.0,0.0,12420.0
1.8,3.0,-0.0,0.0,12470.0
1.85,3.0,-0.0,0.0,12460.0
1.9,3.0,-0.0,0.0,12410.0
1.95,3.0,-0.0,0.0,12490.0
2.0,3.0,-0.0,0.0,12720.0
2.05,3.0,-0.0,0.0,12840.0
2.1,3.0,-0.0,0.0,12690.0
2.15,3.0,-0.0,0.0,12380.0
2.2,3.0,-0.0,0.0,12140.0
2.25,3.0,-0.0,0.0,12010.0
2.3,3.0,-0.0,0.0,11830.0
2.35,3.0,-0.0,0.0,11590.0
2.4,3.0,-0.0,0.0,11460.0
2.45,3.0,-0.0,0.0,11580.0
2.5,3.0,-0.0,0.0,11820.0
2.55,3.0,-0.0,0.0,11920.0
2.6,3.0,-0.0,0.0,11850.0
2.65,3.0,-0.0,0.0,11760.0
2.7,3.0,-0.0,0.0,11710.0
2.75,3.0,-0.0,0.0,11580.0
2.8,3.0,-0.0,0.0,11260.0
2.85,3.0,-0.0,0.0,10900.0
2.9,3.0,-0.0,0.0,10720.0
2.95,3.0,-0.0,0.0,10740.0
3.0,3.0,-0.0,0.0,10790.0
3.05,3.0,-0.0,0.0,10780.0
3.1,3.0,-0.0,0.0,10770.0
3.15,3.0,-0.0,0.0,10860.0
3.2,3.0,-0.0,0.0,10940.0
3.25,3.0,-0.0,0.0,10840.0
3.3,3.0,-0.0,0.0,10560.0
3.35,3.0,-0.0,0.0,10290.0
3.4,3.0,-0.0,0.0,10150.0
3.45,3.0,-0.0,0.0,10060.0
3.5,3.0,-0.0,0.0,9930.0
3.55,3.0,-0.0,0.0,9811.0
3.6,3.0,-0.0,0.0,9822.0
3.65,3.0,-0.0,0.0,9941.0
3.7,3.0,-0.0,0.0,10000.0
3.75,3.0,-0.0,0.0,9898.0
3.8,3.0,-0.0,0.0,9720.0
3.85,3.0,-0.0,0.0,9585.0
3.9,3.0,-0.0,0.0,9480.0
3.95,3.0,-0.0,0.0,9311.0
4.0,3.0,-0.0,0.0,9092.0
4.05,3.0,-0.0,0.0,8955.0
4.1,3.0,-0.0,0.0,8969.0
4.15,3.0,-0.0,0.0,9040.0
4.2,3.0,-0.0,0.0,9036.0
4.25,3.0,-0.0,0.0,8954.0
4.3,3.0,-0.0,0.0,8883.0
4.35,3.0,-0.0,0.0,8835.0
4.4,3.0,-0.0,0.0,8720.0
4.45,3.0,-0.0,0.0,8495.0
4.5,3.0,-0.0,0.0,8256.0
4.55,3.0,-0.0,0.0,8125.0
4.6,3.0,-0.0,0.0,8100.0
4.65,3.0,-0.0,0.0,8085.0
4.7,3.0,-0.0,0.0,8039.0
4.75,3.0,-0.0,0.0,8018.0
4.8,3.0,-0.0,0.0,8055.0
4.85,3.0,-0.0,0.0,8070.0
4.9,3.0,-0.0,0.0,7966.0
4.95,3.0,-0.0,0.0,7762.0
5.0,3.0,-0.0,0.0,7566.0
5.05,3.0,-0.0,0.0,7431.0
5.1,3.0,-0.0,0.0,7318.0
5.15,3.0,-0.0,0.0,7188.0
5.2,3.0,-0.0,0.0,7090.0
5.25,3.0,-0.0,0.0,7090.0
5.3,3.0,-0.0,0.0,7158.0
5.35,3.0,-0.0,0.0,7188.0
5.4,3.0,-0.0,0.0,7128.0
5.45,3.0,-0.0,0.0,7025.0
5.5,3.0,-0.0,0.0,6930.0
5.55,3.0,-0.0,0.0,6823.0
5.6,3.0,-0.0,0.0,6662.0
5.65,3.0,-0.0,0.0,6473.0
5.7,3.0,-0.0,0.0,6343.0
5.75,3.0,-0.0,0.0,6307.0
5.8,3.0,-0.0,0.0,6312.0
5.85,3.0,-0.0,0.0,6291.0
5.9,3.0,-0.0,0.0,6253.0
5.95,3.0,-0.0,0.0,6234.0
6.0,3.0,-0.0,0.0,6220.0
6.05,3.0,-0.0,0.0,6152.0
6.1,3.0,-0.0,0.0,6010.0
6.15,3.0,-0.0,0.0,5852.0
6.2,3.0,-0.0,0.0,5742.0
6.25,3.0,-0.0,0.0,5676.0
6.3,3.0,-0.0,0.0,5610.0
6.35,3.0,-0.0,0.0,5539.0
6.4,3.0,-0.0,0.0,5505.0
6.45,3.0,-0.0,0.0,5514.0
6.5,3.0,-0.0,0.0,5517.0
6.55,3.0,-0.0,0.0,5462.0
6.6,3.0,-0.0,0.0,5360.0
6.65,3.0,-0.0,0.0,5262.0
6.7,3.0,-0.0,0.0,5185.0
6.75,3.0,-0.0,0.0,5102.0
6.8,3.0,-0.0,0.0,5003.0
6.85,3.0,-0.0,0.0,4923.0
6.9,3.0,-0.0,0.0,4899.0
6.95,3.0,-0.0,0.0,4908.0
7.0,3.0,-0.0,0.0,4899.0
7.05,3.0,-0.0,0.0,4852.0
7.1,3.0,-0.0,0.0,4792.0
7.15,3.0,-0.0,0.0,4738.0
