Time,Wind1VelX,Wind1VelY,Wind1VelZ,GenPwr
0.0,3.992,-0.008693,0.0,14840.0
0.05,3.992,-0.008693,0.0,14270.0
0.1,3.992,-0.008693,0.0,14120.0
0.15,3.992,-0.008693,0.0,14210.0
0.2,3.992,-0.008693,0.0,14220.0
0.25,3.992,-0.008693,0.0,14140.0
0.3,3.992,-0.008693,0.0,14240.0
0.35,3.992,-0.008693,0.0,14620.0
0.4,3.992,-0.008693,0.0,14910.0
0.45,3.992,-0.008693,0.0,14790.0
0.5,3.992,-0.008693,0.0,14390.0
0.55,3.992,-0.008693,0.0,14110.0
0.6,3.992,-0.008693,0.0,14030.0
0.65,3.992,-0.008693,0.0,13900.0
0.7,3.992,-0.008693,0.0,13610.0
0.75,3.992,-0.008693,0.0,13430.0
0.8,3.992,-0.008693,0.0,13600.0
0.85,3.992,-0.008693,0.0,13980.0
0.9,3.992,-0.008693,0.0,14150.0
0.95,3.992,-0.008693,0.0,14030.0
1.0,3.992,-0.008693,0.0,13850.0
1.05,3.992,-0.008693,0.0,13820.0
1.1,3.992,-0.008693,0.0,13770.0
1.15,3.992,-0.008693,0.0,13490.0
1.2,3.992,-0.008693,0.0,13120.0
1.25,3.992,-0.008693,0.0,12980.0
1.3,3.992,-0.008693,0.0,13150.0
1.35,3.992,-0.008693,0.0,13350.0
1.4,3.992,-0.008693,0.0,13360.0
1.45,3.992,-0.008693,0.0,13270.0
1.5,3.992,-0.008693,0.0,13310.0
1.55,3.992,-0.008693,0.0,13400.0
1.6,3.992,-0.008693,0.0,13280.0
1.65,3.992,-0.008693,0.0,12920.0
1.7,3.992,-0.008693,0.0,12580.0
1.75,3.992,-0.008693,0.0,12500.0
1.8,3.992,-0.008693,0.0,12560.0
1.85,3.992,-0.008693,0.0,12550.0
1.9,3.992,-0.008693,0.0,12480.0
1.95,3.992,-0.008693,0.0,12530.0
2.0,3.992,-0.008693,0.0,12750.0
2.05,3.992,-0.008693,0.0,12870.0
2.1,3.992,-0.008693,0.0,12720.0
2.15,3.992,-0.008693,0.0,12410.0
2.2,3.992,-0.008693,0.0,12190.0
2.25,3.992,-0.008693,0.0,12080.0
2.3,3.992,-0.008693,0.0,11930.0
2.35,3.992,-0.008693,0.0,11690.0
2.4,3.992,-0.008693,0.0,11550.0
2.45,3.992,-0.008693,0.0,11660.0
2.5,3.992,-0.008693,0.0,11890.0
2.55,3.992,-0.008693,0.0,11990.0
2.6,3.992,-0.008693,0.0,11910.0
2.65,3.992,-0.008693,0.0,11820.0
2.7,3.992,-0.008693,0.0,11780.0
2.75,3.992,-0.008693,0.0,11670.0
2.8,3.992,-0.008693,0.0,11370.0
2.85,3.992,-0.008693,0.0,11020.0
2.9,3.992,-0.008693,0.0,10840.0
2.95,3.992,-0.008693,0.0,10860.0
3.0,3.992,-0.008693,0.0,10910.0
3.05,3.992,-0.008693,0.0,10880.0
3.1,3.992,-0.008693,0.0,10860.0
3.15,3.992,-0.008693,0.0,10940.0
3.2,3.992,-0.008693,0.0,11030.0
3.25,3.992,-0.008693,0.0,10950.0
3.3,3.992,-0.008693,0.0,10690.0
3.35,3.992,-0.008693,0.0,10440.0
3.4,3.992,-0.008693,0.0,10310.0
3.45,3.992,-0.008693,0.0,10240.0
3.5,3.992,-0.008693,0.0,10100.0
3.55,3.992,-0.008693,0.0,9967.0
3.6,3.992,-0.008693,0.0,9956.0
3.65,3.992,-0.008693,0.0,10060.0
3.7,3.992,-0.008693,0.0,10120.0
3.75,3.992,-0.008693,0.0,10020.0
3.8,3.992,-0.008693,0.0,9853.0
3.85,3.992,-0.008693,0.0,9736.0
3.9,3.992,-0.008693,0.0,9656.0
3.95,3.992,-0.008693,0.0,9510.0
4.0,3.992,-0.008693,0.0,9300.0
4.05,3.992,-0.008693,0.0,9158.0
4.1,3.992,-0.008693,0.0,9162.0
4.15,3.992,-0.008693,0.0,9223.0
4.2,3.992,-0.008693,0.0,9207.0
4.25,3.992,-0.008693,0.0,9114.0
4.3,3.992,-0.008693,0.0,9040.0
4.35,3.992,-0.008693,0.0,9002.0
4.4,3.992,-0.008693,0.0,8906.0
4.45,3.992,-0.008693,0.0,8701.0
4.5,3.992,-0.008693,0.0,8478.0
4.55,3.992,-0.008693,0.0,8358.0
4.6,3.992,-0.008693,0.0,8341.0
4.65,3.992,-0.008693,0.0,8326.0
4.7,3.992,-0.008693,0.0,8269.0
4.75,3.992,-0.008693,0.0,8235.0
4.8,3.992,-0.008693,0.0,8261.0
4.85,3.992,-0.008693,0.0,8273.0
4.9,3.992,-0.008693,0.0,8173.0
4.95,3.992,-0.008693,0.0,7977.0
5.0,3.992,-0.008693,0.0,7791.0
5.05,3.992,-0.008693,0.0,7673.0
5.1,3.992,-0.008693,0.0,7574.0
5.15,3.992,-0.008693,0.0,7451.0
5.2,3.992,-0.008693,0.0,7350.0
5.25,3.992,-0.008693,0.0,7344.0
