Time,Wind1VelX,Wind1VelY,Wind1VelZ,GenPwr
0.0,7.826,-0.4997,0.448,14840.0
0.05,8.228,-0.4499,0.4341,14300.0
0.1,8.63,-0.4001,0.4201,14190.0
0.15,8.594,-0.5939,0.3455,14340.0
0.2,8.559,-0.7877,0.2709,14360.0
0.25,8.5,-0.8822,0.2169,14260.0
0.3,8.441,-0.9767,0.1629,14330.0
0.35,8.369,-0.9416,0.1295,14650.0
0.4,8.296,-0.9066,0.09608,14880.0
0.45,8.267,-0.7931,0.08265,14730.0
0.5,8.238,-0.6796,0.06923,14370.0
0.55,8.275,-0.483,0.1303,14170.0
0.6,8.311,-0.2864,0.1914,14190.0
0.65,8.394,-0.2575,0.1435,14130.0
0.7,8.477,-0.2287,0.09555,13870.0
0.75,8.412,-0.1329,0.1492,13680.0
0.8,8.347,-0.03719,0.2029,13830.0
0.85,8.348,0.2434,0.3168,14130.0
0.9,8.349,0.524,0.4306,14230.0
0.95,8.031,0.4088,0.3363,14090.0
1.0,7.714,0.2936,0.2419,13990.0
1.05,7.941,0.1919,0.2559,14070.0
1.1,8.169,0.09019,0.2698,14130.0
1.15,8.291,0.1231,0.2039,13970.0
1.2,8.413,0.156,0.1379,13700.0
1.25,8.408,-0.05728,0.2926,13640.0
1.3,8.403,-0.2706,0.4472,13800.0
1.35,8.545,-0.2853,0.2857,13930.0
1.4,8.687,-0.3001,0.1242,13870.0
1.45,8.754,-0.2195,0.1778,13780.0
1.5,8.821,-0.1389,0.2314,13840.0
1.55,8.865,-0.3434,0.2819,13960.0
1.6,8.91,-0.548,0.3325,13900.0
1.65,8.859,-0.4939,0.5649,13650.0
1.7,8.808,-0.4398,0.7973,13450.0
1.75,8.776,-0.3796,0.9348,13480.0
1.8,8.744,-0.3193,1.072,13590.0
1.85,8.65,-0.265,0.794,13580.0
1.9,8.555,-0.2107,0.5157,13510.0
1.95,8.646,-0.175,0.3022,13560.0
2.0,8.737,-0.1393,0.08871,13750.0
2.05,8.839,-0.05514,0.01303,13850.0
2.1,8.942,0.02907,-0.06265,13720.0
2.15,8.891,-0.1618,-0.2064,13500.0
2.2,8.84,-0.3526,-0.3501,13410.0
2.25,8.652,-0.5747,-0.214,13420.0
2.3,8.464,-0.7967,-0.07791,13340.0
2.35,8.371,-0.832,-0.08449,13170.0
2.4,8.277,-0.8672,-0.09108,13080.0
2.45,8.278,-0.8538,-0.05238,13200.0
2.5,8.279,-0.8403,-0.01369,13400.0
2.55,8.169,-0.9068,0.05817,13470.0
2.6,8.058,-0.9733,0.13,13410.0
2.65,8.018,-1.178,0.4175,13390.0
2.7,7.978,-1.382,0.7049,13460.0
2.75,8.038,-1.375,0.5844,13450.0
2.8,8.098,-1.369,0.4638,13260.0
2.85,8.032,-1.312,0.5088,13040.0
2.9,7.966,-1.256,0.5538,12960.0
2.95,8.007,-1.355,0.5592,13020.0
3.0,8.048,-1.455,0.5646,13050.0
3.05,7.999,-1.43,0.6074,13000.0
3.1,7.949,-1.405,0.6502,12990.0
3.15,7.951,-1.515,0.758,13110.0
3.2,7.954,-1.624,0.8657,13260.0
3.25,8.125,-1.519,0.8418,13250.0
3.3,8.297,-1.414,0.8178,13110.0
3.35,8.227,-1.48,0.5632,13000.0
3.4,8.156,-1.545,0.3085,13000.0
3.45,8.005,-1.527,0.06541,12990.0
3.5,7.853,-1.509,-0.1777,12900.0
3.55,7.778,-1.45,-0.2391,12800.0
3.6,7.704,-1.391,-0.3006,12830.0
3.65,7.776,-1.387,-0.2555,12950.0
3.7,7.849,-1.383,-0.2103,13020.0
3.75,7.876,-1.347,-0.2416,12950.0
3.8,7.902,-1.31,-0.273,12870.0
3.85,7.982,-1.054,-0.4096,12870.0
3.9,8.062,-0.798,-0.5462,12900.0
3.95,8.055,-0.714,-0.5612,12850.0
4.0,8.048,-0.63,-0.5762,12730.0
4.05,7.893,-0.7347,-0.4689,12680.0
4.1,7.739,-0.8395,-0.3617,12740.0
4.15,7.97,-0.7435,-0.0608,12810.0
4.2,8.202,-0.6476,0.2401,12770.0
4.25,8.161,-0.6149,0.1975,12700.0
4.3,8.119,-0.5822,0.155,12680.0
4.35,8.101,-0.6704,0.1589,12730.0
4.4,8.084,-0.7587,0.1627,12710.0
4.45,8.008,-0.8771,0.06594,12590.0
4.5,7.933,-0.9955,-0.0308,12490.0
4.55,7.831,-0.8837,-0.008028,12490.0
4.6,7.729,-0.7719,0.01474,12550.0
4.65,7.737,-0.8151,0.1536,12570.0
4.7,7.744,-0.8583,0.2924,12540.0
4.75,7.63,-0.7238,0.3439,12540.0
4.8,7.515,-0.5894,0.3954,12610.0
4.85,7.539,-0.3172,0.2982,12640.0
4.9,7.563,-0.04488,0.2011,12570.0
4.95,7.513,-0.1022,0.2449,12440.0
5.0,7.462,-0.1594,0.2888,12380.0
5.05,7.546,0.03954,0.125,12380.0
5.1,7.63,0.2385,-0.03869,12370.0
5.15,7.708,0.4454,0.08265,12320.0
5.2,7.787,0.6523,0.204,12280.0
5.25,7.702,0.6758,0.01987,12320.0
5.3,7.617,0.6993,-0.1643,12390.0
5.35,7.812,0.5289,-0.1553,12410.0
5.4,8.007,0.3586,-0.1464,12350.0
5.45,8.032,0.3067,-0.1256,12310.0
5.5,8.058,0.2547,-0.1048,12310.0
5.55,7.981,0.202,-0.03646,12310.0
5.6,7.905,0.1492,0.03185,12250.0
