Time,Wind1VelX,Wind1VelY,Wind1VelZ,GenPwr
0.0,4.233,-0.4292,0.3046,14840.0
0.05,4.479,-0.402,0.2962,14270.0
0.1,4.726,-0.3747,0.2878,14150.0
0.15,4.699,-0.4964,0.2414,14240.0
0.2,4.673,-0.6182,0.195,14230.0
0.25,4.634,-0.6759,0.1613,14130.0
0.3,4.596,-0.7337,0.1277,14230.0
0.35,4.551,-0.7102,0.1071,14590.0
0.4,4.507,-0.6868,0.0865,14860.0
0.45,4.487,-0.618,0.07859,14750.0
0.5,4.468,-0.5492,0.07067,14390.0
0.55,4.49,-0.4294,0.1094,14160.0
0.6,4.512,-0.3096,0.1481,14100.0
0.65,4.56,-0.2923,0.1191,13960.0
0.7,4.608,-0.2751,0.09007,13660.0
0.75,4.564,-0.213,0.1244,13470.0
0.8,4.519,-0.151,0.1588,13630.0
0.85,4.521,0.02154,0.2302,13960.0
0.9,4.523,0.194,0.3017,14090.0
0.95,4.324,0.1265,0.244,13950.0
1.0,4.125,0.05904,0.1863,13820.0
1.05,4.262,-0.00734,0.1954,13840.0
1.1,4.398,-0.07372,0.2045,13830.0
1.15,4.468,-0.05585,0.1645,13590.0
1.2,4.538,-0.03798,0.1245,13260.0
1.25,4.529,-0.1695,0.221,13140.0
1.3,4.519,-0.3009,0.3175,13280.0
1.35,4.606,-0.3115,0.2179,13400.0
1.4,4.693,-0.322,0.1184,13350.0
1.45,4.733,-0.2709,0.1526,13260.0
1.5,4.773,-0.2199,0.1869,13310.0
1.55,4.796,-0.348,0.2195,13410.0
1.6,4.82,-0.4762,0.2522,13310.0
1.65,4.787,-0.4415,0.3977,12990.0
1.7,4.753,-0.4069,0.5432,12720.0
1.75,4.734,-0.3721,0.6289,12690.0
1.8,4.714,-0.3373,0.7146,12760.0
1.85,4.654,-0.3041,0.5407,12720.0
1.9,4.594,-0.2709,0.3668,12640.0
1.95,4.647,-0.2508,0.2325,12690.0
2.0,4.701,-0.2307,0.09818,12870.0
2.05,4.763,-0.1797,0.04978,12950.0
2.1,4.825,-0.1286,0.001386,12770.0
2.15,4.789,-0.2459,-0.08858,12480.0
2.2,4.753,-0.3632,-0.1785,12300.0
2.25,4.634,-0.501,-0.09403,12230.0
2.3,4.514,-0.6389,-0.009501,12100.0
2.35,4.454,-0.6606,-0.01267,11890.0
2.4,4.395,-0.6823,-0.01584,11800.0
2.45,4.393,-0.6726,0.009402,11930.0
2.5,4.392,-0.6628,0.03464,12130.0
2.55,4.322,-0.7042,0.08106,12180.0
2.6,4.251,-0.7455,0.1275,12070.0
2.65,4.221,-0.873,0.3076,11980.0
2.7,4.191,-1.0,0.4877,11950.0
2.75,4.225,-0.9967,0.414,11840.0
2.8,4.259,-0.9928,0.3403,11570.0
2.85,4.217,-0.9592,0.3689,11270.0
2.9,4.176,-0.9255,0.3975,11140.0
2.95,4.198,-0.9869,0.4014,11180.0
3.0,4.219,-1.048,0.4054,11220.0
3.05,4.188,-1.034,0.4322,11170.0
3.1,4.157,-1.019,0.459,11150.0
3.15,4.155,-1.087,0.5256,11230.0
3.2,4.154,-1.155,0.5923,11300.0
3.25,4.26,-1.092,0.5761,11210.0
3.3,4.365,-1.029,0.56,10980.0
3.35,4.32,-1.069,0.3993,10770.0
3.4,4.275,-1.108,0.2385,10690.0
3.45,4.178,-1.095,0.08492,10620.0
3.5,4.082,-1.082,-0.06869,10490.0
3.55,4.036,-1.043,-0.1087,10350.0
3.6,3.99,-1.003,-0.1487,10340.0
3.65,4.034,-1.001,-0.1219,10420.0
3.7,4.079,-0.9983,-0.09521,10460.0
3.75,4.096,-0.9761,-0.1157,10360.0
3.8,4.112,-0.9539,-0.1362,10230.0
3.85,4.162,-0.7964,-0.2216,10150.0
3.9,4.212,-0.6389,-0.307,10090.0
3.95,4.208,-0.5848,-0.3158,9963.0
4.0,4.205,-0.5307,-0.3246,9772.0
4.05,4.107,-0.5931,-0.2566,9651.0
4.1,4.01,-0.6555,-0.1886,9658.0
4.15,4.152,-0.5977,0.0,9698.0
4.2,4.294,-0.54,0.1886,9655.0
4.25,4.267,-0.5194,0.1638,9553.0
4.3,4.24,-0.4988,0.139,9482.0
4.35,4.227,-0.5542,0.1422,9447.0
4.4,4.214,-0.6096,0.1455,9354.0
4.45,4.167,-0.681,0.0864,9166.0
4.5,4.119,-0.7525,0.02732,8977.0
4.55,4.055,-0.6807,0.04256,8895.0
4.6,3.991,-0.6089,0.0578,8898.0
4.65,3.992,-0.6349,0.1454,8887.0
4.7,3.994,-0.6609,0.233,8830.0
4.75,3.921,-0.5754,0.266,8791.0
4.8,3.848,-0.4899,0.2991,8802.0
4.85,3.861,-0.3215,0.2395,8790.0
4.9,3.874,-0.1532,0.1799,8672.0
4.95,3.842,-0.1861,0.2073,8480.0
5.0,3.81,-0.2189,0.2348,8318.0
5.05,3.865,-0.09654,0.1336,8230.0
5.1,3.919,0.02585,0.03246,8158.0
5.15,3.969,0.1557,0.1081,8060.0
5.2,4.018,0.2856,0.1837,7980.0
5.25,3.963,0.3003,0.07007,7982.0
5.3,3.909,0.315,-0.04355,8033.0
5.35,4.024,0.2071,-0.03712,8035.0
5.4,4.139,0.09925,-0.03068,7953.0
5.45,4.151,0.06766,-0.01603,7847.0
5.5,4.164,0.03606,-0.001386,7767.0
5.55,4.116,0.004787,0.04315,7683.0
5.6,4.067,-0.02649,0.08769,7546.0
5.65,4.057,-0.02425,0.1572,7384.0
5.7,4.048,-0.02202,0.2266,7278.0
5.75,4.06,-0.03239,0.2268,7255.0
5.8,4.072,-0.04276,0.227,7254.0
5.85,4.034,-0.07611,0.3243,7219.0
5.9,3.996,-0.1095,0.4216,7167.0
5.95,4.019,-0.1522,0.4449,7143.0
6.0,4.043,-0.195,0.4681,7131.0
6.05,4.162,-0.1747,0.5587,7069.0
6.1,4.282,-0.1545,0.6493,6941.0
6.15,4.371,-0.2749,0.6604,6808.0
6.2,4.46,-0.3954,0.6714,6725.0
6.25,4.362,-0.337,0.6668,6676.0
6.3,4.263,-0.2786,0.6621,6616.0
6.35,4.248,-0.2662,0.6632,6543.0
6.4,4.233,-0.2537,0.6643,6501.0
6.45,4.305,-0.3697,0.711,6501.0
6.5,4.377,-0.4857,0.7577,6492.0
6.55,4.417,-0.3895,0.7434,6427.0
6.6,4.456,-0.2933,0.729,6327.0
6.65,4.523,-0.1696,0.7831,6243.0
6.7,4.589,-0.04596,0.8371,6189.0
6.75,4.725,0.006223,0.7432,6129.0
6.8,4.86,0.0584,0.6493,6049.0
6.85,4.855,0.1787,0.6436,5984.0
6.9,4.849,0.299,0.638,5966.0
6.95,4.866,0.2303,0.5481,5971.0
7.0,4.882,0.1615,0.4582,5946.0
7.05,4.864,0.1379,0.5332,5881.0
7.1,4.846,0.1143,0.6081,5811.0
7.15,4.783,0.2012,0.5861,5758.0
7.2,4.719,0.2882,0.5642,5701.0
7.25,4.678,0.1964,0.603,5614.0
7.3,4.636,0.1047,0.6419,5518.0
7.35,4.636,0.0825,0.53,5458.0
7.4,4.635,0.06032,0.4181,5441.0
7.45,4.538,0.1556,0.3676,5433.0
7.5,4.441,0.2508,0.3171,5407.0
7.55,4.493,0.2781,0.3145,5379.0
7.6,4.544,0.3054,0.312,5366.0
7.65,4.534,0.2931,0.295,5350.0
7.7,4.523,0.2808,0.2781,5295.0
7.75,4.526,0.2962,0.2539,5200.0
7.8,4.528,0.3115,0.2296,5103.0
7.85,4.615,0.3107,0.2278,5033.0
7.9,4.701,0.3099,0.2261,4985.0
7.95,4.73,0.2928,0.2307,4940.0
8.0,4.758,0.2757,0.2354,4905.0
8.05,4.801,0.4382,0.2273,4902.0
8.1,4.844,0.6006,0.2193,4924.0
8.15,4.818,0.6242,0.1255,4932.0
8.2,4.793,0.6478,0.03167,4899.0
8.25,4.705,0.5144,0.05077,4838.0
8.3,4.617,0.381,0.06988,4777.0
8.35,4.686,0.248,0.158,4720.0
8.4,4.755,0.1149,0.246,4652.0
8.45,4.831,0.08409,0.1425,4577.0
8.5,4.907,0.0533,0.039,4521.0
8.55,4.93,0.1254,-0.00287,4501.0
8.6,4.953,0.1975,-0.04474,4499.0
8.65,4.933,0.2137,-0.03266,4488.0
8.7,4.913,0.2298,-0.02059,4464.0
8.75,4.952,0.2133,0.06691,4441.0
8.8,4.99,0.1969,0.1544,4424.0
8.85,4.889,0.3199,0.2011,4394.0
8.9,4.788,0.443,0.2478,4339.0
8.95,4.902,0.3954,0.3312,4273.0
9.0,5.016,0.3479,0.4145,4222.0
9.05,5.039,0.2055,0.473,4189.0
9.1,5.063,0.06319,0.5315,4158.0
9.15,5.002,0.1213,0.5968,4124.0
9.2,4.942,0.1794,0.6621,4098.0
9.25,4.918,0.1265,0.7968,4087.0
9.3,4.894,0.07372,0.9315,4082.0
9.35,4.804,0.1166,0.9019,4059.0
9.4,4.714,0.1596,0.8724,4016.0
9.45,4.701,0.06909,0.8137,3973.0
9.5,4.687,-0.02138,0.755,3941.0
9.55,4.715,-0.1163,0.7711,3912.0
9.6,4.742,-0.2113,0.7872,3877.0
9.65,4.659,-0.2109,0.8229,3843.0
9.7,4.575,-0.2106,0.8585,3824.0
9.75,4.506,-0.2323,0.7461,3817.0
9.8,4.437,-0.254,0.6336,3805.0
9.85,4.5,-0.2062,0.554,3774.0
9.9,4.563,-0.1583,0.4743,3735.0
9.95,4.597,-0.2735,0.4532,3702.0
10.0,4.631,-0.3887,0.4321,3672.0
10.05,4.663,-0.3793,0.3622,3634.0
10.1,4.695,-0.3699,0.2924,3592.0
10.15,4.834,-0.356,0.3452,3561.0
10.2,4.973,-0.3421,0.3981,3549.0
10.25,4.917,-0.5014,0.3953,3545.0
10.3,4.861,-0.6606,0.3925,3535.0
10.35,4.794,-0.6327,0.3601,3517.0
10.4,4.728,-0.6048,0.3276,3500.0
10.45,4.68,-0.6882,0.2815,3485.0
10.5,4.631,-0.7717,0.2354,3457.0
10.55,4.642,-0.6718,0.3126,3413.0
10.6,4.652,-0.5719,0.3898,3365.0
10.65,4.659,-0.5082,0.2583,3330.0
10.7,4.667,-0.4446,0.1269,3309.0
10.75,4.588,-0.5055,0.2017,3293.0
10.8,4.509,-0.5665,0.2765,3279.0
10.85,4.519,-0.509,0.3523,3272.0
10.9,4.528,-0.4516,0.4282,3275.0
10.95,4.498,-0.561,0.4512,3275.0
11.0,4.468,-0.6705,0.4743,3259.0
11.05,4.563,-0.674,0.522,3227.0
11.1,4.659,-0.6775,0.5697,3194.0
11.15,4.677,-0.6978,0.5596,3165.0
11.2,4.696,-0.7181,0.5495,3136.0
11.25,4.648,-0.7078,0.434,3106.0
11.3,4.599,-0.6976,0.3185,3082.0
11.35,4.641,-0.6694,0.1868,3073.0
11.4,4.682,-0.6411,0.05503,3073.0
11.45,4.754,-0.6212,0.08195,3072.0
11.5,4.827,-0.6013,0.1089,3062.0
11.55,4.775,-0.5883,0.1258,3049.0
11.6,4.723,-0.5754,0.1427,3038.0
11.65,4.803,-0.6392,0.1519,3024.0
11.7,4.883,-0.7031,0.1611,3000.0
11.75,4.948,-0.7039,0.152,2971.0
11.8,5.013,-0.7047,0.1429,2946.0
11.85,5.069,-0.7819,0.1431,2931.0
11.9,5.124,-0.8591,0.1433,2921.0
11.95,5.19,-0.7927,0.1341,2909.0
12.0,5.257,-0.7264,0.1249,2900.0
12.05,5.176,-0.7152,0.02019,2896.0
12.1,5.095,-0.704,-0.08452,2895.0
12.15,5.119,-0.7198,-0.2124,2887.0
12.2,5.142,-0.7356,-0.3403,2869.0
12.25,5.079,-0.7122,-0.2717,2847.0
12.3,5.015,-0.6887,-0.2031,2828.0
12.35,5.068,-0.6782,-0.1207,2813.0
12.4,5.12,-0.6676,-0.0384,2798.0
12.45,5.211,-0.7323,0.01227,2784.0
12.5,5.302,-0.7969,0.06295,2776.0
12.55,5.206,-0.8272,0.05562,2777.0
12.6,5.11,-0.8575,0.0483,2777.0
12.65,5.112,-0.8452,0.08749,2769.0
12.7,5.114,-0.8329,0.1267,2754.0
12.75,5.077,-0.8034,0.1963,2737.0
