Time,Wind1VelX,Wind1VelY,Wind1VelZ,GenPwr
0.0,7.375,-0.4648,0.4302,14840.0
0.05,7.756,-0.4171,0.4171,14290.0
0.1,8.137,-0.3693,0.404,14180.0
0.15,8.102,-0.5531,0.333,14320.0
0.2,8.068,-0.737,0.262,14340.0
0.25,8.011,-0.8271,0.2105,14240.0
0.3,7.954,-0.9173,0.159,14310.0
0.35,7.884,-0.8842,0.1273,14630.0
0.4,7.814,-0.8511,0.09558,14870.0
0.45,7.786,-0.7434,0.08284,14730.0
0.5,7.758,-0.6356,0.07009,14360.0
0.55,7.791,-0.4483,0.1285,14150.0
0.6,7.825,-0.261,0.1868,14160.0
0.65,7.903,-0.2339,0.1412,14090.0
0.7,7.981,-0.2068,0.09558,13820.0
0.75,7.919,-0.1158,0.1468,13630.0
0.8,7.856,-0.02481,0.198,13780.0
0.85,7.857,0.2415,0.3062,14090.0
0.9,7.857,0.5078,0.4144,14180.0
0.95,7.554,0.3978,0.325,14040.0
1.0,7.252,0.2878,0.2355,13940.0
1.05,7.468,0.1921,0.2488,14000.0
1.1,7.683,0.09636,0.262,14050.0
1.15,7.799,0.1276,0.1998,13870.0
1.2,7.914,0.1588,0.1376,13600.0
1.25,7.91,-0.04404,0.2843,13520.0
1.3,7.906,-0.2469,0.431,13670.0
1.35,8.04,-0.261,0.2777,13800.0
1.4,8.174,-0.275,0.1244,13740.0
1.45,8.237,-0.1989,0.1757,13650.0
1.5,8.299,-0.1228,0.2271,13710.0
1.55,8.341,-0.3168,0.2751,13820.0
1.6,8.382,-0.5107,0.3232,13760.0
1.65,8.334,-0.4599,0.5442,13490.0
1.7,8.286,-0.409,0.7652,13280.0
1.75,8.254,-0.3515,0.8956,13290.0
1.8,8.223,-0.294,1.026,13380.0
1.85,8.132,-0.243,0.7616,13370.0
1.9,8.041,-0.1919,0.497,13290.0
1.95,8.128,-0.1574,0.2939,13350.0
2.0,8.214,-0.1228,0.09074,13540.0
2.05,8.31,-0.04322,0.01848,13630.0
2.1,8.406,0.03639,-0.05378,13490.0
2.15,8.357,-0.1452,-0.1903,13260.0
2.2,8.309,-0.3267,-0.3268,13140.0
2.25,8.131,-0.5378,-0.1975,13130.0
2.3,7.953,-0.7489,-0.06831,13040.0
2.35,7.863,-0.7829,-0.0743,12870.0
2.4,7.773,-0.8168,-0.08029,12780.0
2.45,7.773,-0.8048,-0.04333,12910.0
2.5,7.774,-0.7928,-0.006372,13100.0
2.55,7.669,-0.8561,0.06206,13160.0
2.6,7.564,-0.9193,0.1305,13100.0
2.65,7.526,-1.113,0.4039,13060.0
2.7,7.488,-1.307,0.6772,13100.0
2.75,7.545,-1.301,0.5628,13070.0
2.8,7.601,-1.295,0.4483,12860.0
2.85,7.539,-1.241,0.4912,12620.0
2.9,7.476,-1.188,0.534,12540.0
2.95,7.515,-1.282,0.5395,12590.0
3.0,7.553,-1.377,0.5449,12630.0
3.05,7.506,-1.353,0.5857,12570.0
3.1,7.458,-1.33,0.6265,12550.0
3.15,7.461,-1.434,0.7287,12660.0
3.2,7.463,-1.538,0.8309,12790.0
3.25,7.625,-1.438,0.8078,12780.0
3.3,7.787,-1.337,0.7848,12620.0
3.35,7.721,-1.399,0.5424,12500.0
3.4,7.654,-1.462,0.3,12470.0
3.45,7.509,-1.445,0.06844,12450.0
3.5,7.365,-1.428,-0.1631,12340.0
3.55,7.294,-1.373,-0.2216,12230.0
3.6,7.223,-1.318,-0.2801,12250.0
3.65,7.292,-1.313,-0.2375,12370.0
3.7,7.36,-1.309,-0.195,12430.0
3.75,7.385,-1.274,-0.2251,12360.0
3.8,7.409,-1.239,-0.2551,12270.0
3.85,7.484,-0.9954,-0.385,12250.0
3.9,7.558,-0.7523,-0.5149,12270.0
3.95,7.551,-0.6724,-0.529,12200.0
4.0,7.544,-0.5926,-0.5432,12060.0
4.05,7.397,-0.6925,-0.4409,12000.0
4.1,7.25,-0.7924,-0.3387,12060.0
4.15,7.47,-0.7008,-0.05263,12130.0
4.2,7.69,-0.6092,0.2335,12090.0
4.25,7.65,-0.5779,0.1932,11990.0
4.3,7.61,-0.5467,0.1529,11950.0
4.35,7.593,-0.6301,0.1568,11980.0
4.4,7.576,-0.7134,0.1606,11950.0
4.45,7.504,-0.8255,0.06882,11830.0
4.5,7.432,-0.9375,-0.02294,11700.0
4.55,7.335,-0.8319,-0.00102,11680.0
4.6,7.238,-0.7262,0.0209,11740.0
4.65,7.245,-0.7669,0.1529,11750.0
4.7,7.253,-0.8077,0.285,11700.0
4.75,7.144,-0.6803,0.3339,11690.0
4.8,7.035,-0.5529,0.3828,11760.0
4.85,7.057,-0.2938,0.2908,11800.0
4.9,7.079,-0.03474,0.1988,11730.0
4.95,7.031,-0.08891,0.2404,11580.0
5.0,6.982,-0.1431,0.2819,11480.0
5.05,7.061,0.04611,0.1267,11450.0
5.1,7.139,0.2353,-0.02855,11420.0
5.15,7.212,0.4318,0.08666,11350.0
5.2,7.285,0.6282,0.2019,11300.0
5.25,7.204,0.6505,0.02702,11340.0
5.3,7.124,0.6729,-0.1478,11440.0
5.35,7.309,0.5122,-0.1393,11480.0
5.4,7.495,0.3515,-0.1308,11410.0
5.45,7.519,0.3021,-0.1105,11340.0
5.5,7.543,0.2527,-0.09023,11320.0
5.55,7.47,0.2026,-0.02523,11300.0
5.6,7.398,0.1526,0.03976,11210.0
