Time,Wind1VelX,Wind1VelY,Wind1VelZ,GenPwr
0.0,3.0,-0.02618,0.0,14840.0
0.05,3.0,-0.02618,0.0,14270.0
0.1,3.0,-0.02618,0.0,14110.0
0.15,3.0,-0.02618,0.0,14190.0
0.2,3.0,-0.02618,0.0,14210.0
0.25,3.0,-0.02618,0.0,14140.0
0.3,3.0,-0.02618,0.0,14270.0
0.35,3.0,-0.02618,0.0,14660.0
0.4,3.0,-0.02618,0.0,14940.0
0.45,3.0,-0.02618,0.0,14800.0
0.5,3.0,-0.02618,0.0,14390.0
0.55,3.0,-0.02618,0.0,14090.0
0.6,3.0,-0.02618,0.0,14000.0
0.65,3.0,-0.02618,0.0,13850.0
0.7,3.0,-0.02618,0.0,13560.0
0.75,3.0,-0.02618,0.0,13400.0
0.8,3.0,-0.02618,0.0,13610.0
0.85,3.0,-0.02618,0.0,14000.0
0.9,3.0,-0.02618,0.0,14190.0
0.95,3.0,-0.02618,0.0,14070.0
1.0,3.0,-0.02618,0.0,13900.0
1.05,3.0,-0.02618,0.0,13840.0
1.1,3.0,-0.02618,0.0,13750.0
1.15,3.0,-0.02618,0.0,13440.0
1.2,3.0,-0.02618,0.0,13040.0
1.25,3.0,-0.02618,0.0,12900.0
1.3,3.0,-0.02618,0.0,13080.0
1.35,3.0,-0.02618,0.0,13290.0
1.4,3.0,-0.02618,0.0,13330.0
1.45,3.0,-0.02618,0.0,13280.0
1.5,3.0,-0.02618,0.0,13340.0
1.55,3.0,-0.02618,0.0,13410.0
1.6,3.0,-0.02618,0.0,13260.0
1.65,3.0,-0.02618,0.0,12870.0
1.7,3.0,-0.02618,0.0,12520.0
1.75,3.0,-0.02618,0.0,12420.0
1.8,3.0,-0.02618,0.0,12460.0
1.85,3.0,-0.02618,0.0,12450.0
1.9,3.0,-0.02618,0.0,12390.0
1.95,3.0,-0.02618,0.0,12480.0
2.0,3.0,-0.02618,0.0,12710.0
2.05,3.0,-0.02618,0.0,12840.0
2.1,3.0,-0.02618,0.0,12680.0
2.15,3.0,-0.02618,0.0,12370.0
2.2,3.0,-0.02618,0.0,12130.0
2.25,3.0,-0.02618,0.0,12000.0
2.3,3.0,-0.02618,0.0,11830.0
2.35,3.0,-0.02618,0.0,11580.0
2.4,3.0,-0.02618,0.0,11460.0
2.45,3.0,-0.02618,0.0,11580.0
2.5,3.0,-0.02618,0.0,11820.0
2.55,3.0,-0.02618,0.0,11920.0
2.6,3.0,-0.02618,0.0,11850.0
2.65,3.0,-0.02618,0.0,11750.0
2.7,3.0,-0.02618,0.0,11700.0
2.75,3.0,-0.02618,0.0,11560.0
2.8,3.0,-0.02618,0.0,11250.0
2.85,3.0,-0.02618,0.0,10890.0
2.9,3.0,-0.02618,0.0,10720.0
2.95,3.0,-0.02618,0.0,10740.0
3.0,3.0,-0.02618,0.0,10800.0
3.05,3.0,-0.02618,0.0,10780.0
3.1,3.0,-0.02618,0.0,10770.0
3.15,3.0,-0.02618,0.0,10860.0
3.2,3.0,-0.02618,0.0,10930.0
3.25,3.0,-0.02618,0.0,10830.0
3.3,3.0,-0.02618,0.0,10550.0
3.35,3.0,-0.02618,0.0,10280.0
3.4,3.0,-0.02618,0.0,10130.0
3.45,3.0,-0.02618,0.0,10040.0
3.5,3.0,-0.02618,0.0,9917.0
3.55,3.0,-0.02618,0.0,9801.0
3.6,3.0,-0.02618,0.0,9816.0
3.65,3.0,-0.02618,0.0,9939.0
3.7,3.0,-0.02618,0.0,10000.0
3.75,3.0,-0.02618,0.0,9901.0
3.8,3.0,-0.02618,0.0,9720.0
3.85,3.0,-0.02618,0.0,9583.0
3.9,3.0,-0.02618,0.0,9474.0
3.95,3.0,-0.02618,0.0,9302.0
4.0,3.0,-0.02618,0.0,9081.0
4.05,3.0,-0.02618,0.0,8941.0
4.1,3.0,-0.02618,0.0,8955.0
4.15,3.0,-0.02618,0.0,9027.0
4.2,3.0,-0.02618,0.0,9026.0
4.25,3.0,-0.02618,0.0,8948.0
4.3,3.0,-0.02618,0.0,8882.0
4.35,3.0,-0.02618,0.0,8838.0
4.4,3.0,-0.02618,0.0,8725.0
4.45,3.0,-0.02618,0.0,8500.0
4.5,3.0,-0.02618,0.0,8258.0
4.55,3.0,-0.02618,0.0,8123.0
4.6,3.0,-0.02618,0.0,8093.0
4.65,3.0,-0.02618,0.0,8074.0
4.7,3.0,-0.02618,0.0,8025.0
4.75,3.0,-0.02618,0.0,8005.0
4.8,3.0,-0.02618,0.0,8043.0
4.85,3.0,-0.02618,0.0,8061.0
4.9,3.0,-0.02618,0.0,7960.0
4.95,3.0,-0.02618,0.0,7760.0
5.0,3.0,-0.02618,0.0,7566.0
5.05,3.0,-0.02618,0.0,7433.0
5.1,3.0,-0.02618,0.0,7320.0
5.15,3.0,-0.02618,0.0,7189.0
5.2,3.0,-0.02618,0.0,7089.0
5.25,3.0,-0.02618,0.0,7087.0
5.3,3.0,-0.02618,0.0,7152.0
5.35,3.0,-0.02618,0.0,7179.0
5.4,3.0,-0.02618,0.0,7118.0
5.45,3.0,-0.02618,0.0,7014.0
5.5,3.0,-0.02618,0.0,6920.0
5.55,3.0,-0.02618,0.0,6815.0
5.6,3.0,-0.02618,0.0,6655.0
5.65,3.0,-0.02618,0.0,6469.0
5.7,3.0,-0.02618,0.0,6341.0
5.75,3.0,-0.02618,0.0,6308.0
5.8,3.0,-0.02618,0.0,6312.0
5.85,3.0,-0.02618,0.0,6291.0
5.9,3.0,-0.02618,0.0,6250.0
5.95,3.0,-0.02618,0.0,6229.0
6.0,3.0,-0.02618,0.0,6213.0
6.05,3.0,-0.02618,0.0,6142.0
6.1,3.0,-0.02618,0.0,5999.0
